position,company,reviews,state,city,data scientist,data analyst,machine learning,research,data engineer,work experience
Development Director,ALS TDI,0.0,GA,Atlanta,False,False,False,False,False,6-8 years
An Ostentatiously-Excitable Principal Research Assistant to Chief Scientist,The Hexagon Lavish,0.0,GA,Atlanta,False,False,False,Research,False,
Data Scientist,Xpert Staffing,0.0,GA,Atlanta,Data Sci,False,False,False,False,
Data Analyst,Operation HOPE,44.0,GA,Atlanta,False,Data Analy,False,False,False,25 years
Assistant Professor -TT - Signal Processing & Machine Learning,Emory University,550.0,GA,Atlanta,False,False,Machine Learning,False,False,
Manager of Data Engineering,McKinsey & Company,385.0,GA,Atlanta,False,False,False,False,Data Engineer,
"Product Specialist - Periscope, New Ventures",McKinsey & Company,385.0,GA,Atlanta,False,False,False,False,False,5-7 years
"Junior to Mid-level Engineer, Geologist or Environmental Scientist",Wood,899.0,GA,Atlanta,False,False,False,False,False,
Analyst - CIB Credit Research,SunTrust,3343.0,GA,Atlanta,False,False,False,Research,False,
Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,4494.0,GA,Atlanta,Data Sci,False,False,False,False,
STATISTICAL FORECAST ANALYST,The Home Depot,38844.0,GA,Atlanta,False,False,False,False,False,1 years
Health Scientist III-CPTS,Chenega Corporation,390.0,GA,Atlanta,False,False,False,False,False,
"Senior Associate, Data Scientist",KPMG,4494.0,GA,Atlanta,Data Sci,False,False,False,False,
Assistant Scientist (AR) SOM,Emory University,550.0,GA,Atlanta,False,False,False,False,False,
Business Intelligence Data Science Analyst - Supply Chain,Newell Brands,912.0,GA,Atlanta,Data Sci,False,False,False,False,
Data Scientist,Cotiviti,104.0,GA,Atlanta,Data Sci,False,False,False,False,
Senior Structural Engineer-Transmission & Distribution,Burns & McDonnell,152.0,GA,Atlanta,False,False,False,False,False,7 years
Senior Mobile Developer (iOS/Android),Perficient,44.0,GA,Atlanta,False,False,False,False,False,
Data Scientist,Relus Cloud,0.0,GA,Atlanta,Data Sci,False,False,False,False,
Data Scientist,Inspire Brands,0.0,GA,Atlanta,Data Sci,False,False,False,False,
Senior Electrical Engineer,Burns & McDonnell,152.0,GA,Atlanta,False,False,False,False,False,7 years
"Sr. Manager, Full Stack Development, KPMG Tax Ignition",KPMG,4494.0,GA,Atlanta,False,False,False,False,False,15 years
Data Scientist,Norfolk Southern Corp,722.0,GA,Atlanta,Data Sci,False,False,False,False,
DATA SCIENTIST - Supply Chain,The Home Depot,38844.0,GA,Atlanta,DATA SCI,False,False,False,False,3 years
"Data Scientist, Keying & Linking",Equifax,447.0,GA,Atlanta,Data Sci,False,False,False,False,
Data Scientist,AirSage,0.0,GA,Atlanta,Data Sci,False,False,False,False,5 years
Data Scientist 1 – AP Forensics Team,The Home Depot,0.0,GA,Atlanta,Data Sci,False,False,False,False,7 years
Data Scientist - ICL,Georgia Tech Research Institute,496.0,GA,Atlanta,Data Sci,False,False,False,False,
"Data Scientist, Online",The Home Depot,38844.0,GA,Atlanta,Data Sci,False,False,False,False,0 years
Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate,Capgemini,5720.0,GA,Atlanta,Data Sci,False,False,False,False,1-4 years
Senior Data Scientist,Catalina Marketing,78.0,GA,Atlanta,Data Sci,False,False,False,False,
Business Intelligence Data Scientist - Supply Chain,Newell Brands,912.0,GA,Atlanta,Data Sci,False,False,False,False,
Entry Level/Junior-Level Scientist,"Kleinfelder, Inc.",92.0,GA,Atlanta,False,False,False,False,False,0-3 years
Scientist - Data Analysis,AMERICAN CANCER SOCIETY,959.0,GA,Atlanta,False,Data Analy,False,False,False,
Data Scientist,SalesLoft,7.0,GA,Atlanta,Data Sci,False,False,False,False,
Data Scientist,McKesson,3558.0,GA,Atlanta,Data Sci,False,False,False,False,2 years
Data Scientist,The Intersect Group,29.0,GA,Atlanta,Data Sci,False,False,False,False,3 years
Health Scientist,Centers for Disease Control and Prevention,350.0,GA,Atlanta,False,False,False,False,False,5 years
Data Scientist,OM Partners,0.0,GA,Atlanta,Data Sci,False,False,False,False,
DATA SCIENTIST - SPACE OPTIMIZATION,The Home Depot,38844.0,GA,Atlanta,DATA SCI,False,False,False,False,3 years
"Data Science Specialist - Periscope, New Ventures",McKinsey & Company,385.0,GA,Atlanta,Data Sci,False,False,False,False,
Senior Data Scientist,Cotiviti,104.0,GA,Atlanta,Data Sci,False,False,False,False,
Manager - Data Scientist ! Orlando!,Capgemini,5720.0,GA,Atlanta,Data Sci,False,False,False,False,5-10 years
Scientist II,The Coca-Cola Company,7236.0,GA,Atlanta,False,False,False,False,False,1-3 years
Lead Data Scientist,Norfolk Southern Corp,722.0,GA,Atlanta,Data Sci,False,False,False,False,
Senior Data Scientist,Norfolk Southern Corp,722.0,GA,Atlanta,Data Sci,False,False,False,False,
"Data Scientist - Consultant Level - Orlando, Florida - we will assist with relocation",Capgemini,5720.0,GA,Atlanta,Data Sci,False,False,False,False,1-4 years
Flight Safety Data Analysis Fall Co-Op,Delta Air Lines,2963.0,GA,Atlanta,False,Data Analy,False,False,False,
Chief Deep Learning Scientist,YIWEI Medical Inc.,0.0,GA,Atlanta,False,False,False,False,False,
Supervisory Health Scientist,Centers for Disease Control and Prevention,350.0,GA,Atlanta,False,False,False,False,False,
Manager - Cognitive Data Scientist Natural Language Processing,KPMG,4494.0,GA,Atlanta,Data Sci,False,False,False,False,
"Director, Data Scientist",KPMG,4494.0,GA,Atlanta,Data Sci,False,False,False,False,
"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,159.0,GA,Atlanta,Data Sci,False,False,False,False,
Statistical Analyst,Hawkins Diagnostics,0.0,GA,Atlanta,False,False,False,False,False,1-5 years
"VP, Data Analytics",TCGplayer,0.0,GA,Atlanta,False,Data Analy,False,False,False,
Lead Decision Scientist,"Moxie Interactive, Inc.",0.0,GA,Atlanta,False,False,False,False,False,3-5 years
Scientist I - Sensory Panel Leader,The Coca-Cola Company,7236.0,GA,Atlanta,False,False,False,False,False,1-3 years
Data Scientist or Data Scientist Lead PS10268,"Anthem, Inc.",3182.0,GA,Atlanta,Data Sci,False,False,False,False,3-5 years
Lead Decision Scientist,Moxie,347.0,GA,Atlanta,False,False,False,False,False,3-5 years
Senior Cyber Security Data Scientist,Bank of America,21954.0,GA,Atlanta,Data Sci,False,False,False,False,
Scientist II/Ecologist II,HNTB Corporation,127.0,GA,Atlanta,False,False,False,False,False,5 years
Data Engineer,Gallup,140.0,GA,Atlanta,False,False,False,False,Data Engineer,
"Manager, Data Scientist",KPMG,4494.0,GA,Atlanta,Data Sci,False,False,False,False,
Machine Learning / Artificial Intelligence Research Scientist,Symantec,950.0,GA,Atlanta,False,False,Machine Learning,Research,False,
