"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Baden-Württemberg;DEBW004;Eggenstein;"rural near town";background;14;1
Baden-Württemberg;DEBW009;Heidelberg;"urban area";background;14;1
Baden-Württemberg;DEBW010;Wiesloch;"suburban area";background;13;0
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"urban area";background;15;2
Baden-Württemberg;DEBW015;Heilbronn;"urban area";background;15;3
Baden-Württemberg;DEBW019;Ulm;"urban area";background;14;2
Baden-Württemberg;DEBW023;"Weil am Rhein";"suburban area";background;13;0
Baden-Württemberg;DEBW024;Ludwigsburg;"suburban area";background;14;3
Baden-Württemberg;DEBW027;Reutlingen;"urban area";background;13;2
Baden-Württemberg;DEBW029;Aalen;"suburban area";background;12;2
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"rural regional";background;8;1
Baden-Württemberg;DEBW033;Pforzheim;"urban area";background;16;1
Baden-Württemberg;DEBW038;Friedrichshafen;"urban area";background;14;1
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"suburban area";background;13;1
Baden-Württemberg;DEBW042;Bernhausen;"suburban area";background;16;4
Baden-Württemberg;DEBW046;Biberach;"suburban area";background;13;2
Baden-Württemberg;DEBW052;Konstanz;"urban area";background;14;1
Baden-Württemberg;DEBW059;Tauberbischofsheim;"suburban area";background;13;0
Baden-Württemberg;DEBW073;Neuenburg;"suburban area";background;14;1
Baden-Württemberg;DEBW076;Baden-Baden;"suburban area";background;11;1
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"urban area";background;14;1
Baden-Württemberg;DEBW084;Freiburg;"urban area";background;13;1
Baden-Württemberg;DEBW087;"Schwäbische Alb";"rural regional";background;10;1
Baden-Württemberg;DEBW107;Tübingen;"suburban area";background;14;2
Baden-Württemberg;DEBW112;Gärtringen;"suburban area";background;13;1
Baden-Württemberg;DEBW005;Mannheim-Nord;"suburban area";industry;15;1
Baden-Württemberg;DEBW022;Kehl;"suburban area";industry;15;2
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;15;1
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;18;2
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;22;8
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;17;3
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;23;14
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"urban area";traffic;14;1
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"urban area";traffic;22;16
Baden-Württemberg;DEBW147;"Reutlingen Lederstraße-Ost";"urban area";traffic;18;6
Baden-Württemberg;DEBW152;"Heilbronn Weinsberger Straße-Ost";"urban area";traffic;17;3
Baden-Württemberg;DEBW156;"Schramberg Oberndorfer Straße";"urban area";traffic;13;1
Bavaria;DEBY007;Augsburg/Bourges-Platz;"urban area";background;15;2
Bavaria;DEBY009;Bamberg/Löwenbrücke;"urban area";background;15;2
Bavaria;DEBY012;"Burghausen/Marktler Straße";"suburban area";background;14;3
Bavaria;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"urban area";background;14;2
Bavaria;DEBY039;München/Lothstraße;"urban area";background;14;2
Bavaria;DEBY052;Neu-Ulm/Gabelsbergerstraße;"urban area";background;15;2
Bavaria;DEBY068;Schweinfurt/Obertor;"urban area";background;14;1
Bavaria;DEBY072;Tiefenbach/Altenschneeberg;"rural regional";background;10;1
Bavaria;DEBY077;Würzburg/Kopfklinik;"suburban area";background;14;1
Bavaria;DEBY088;Trostberg/Schwimmbadstraße;"suburban area";background;14;2
Bavaria;DEBY089;München/Johanneskirchen;"suburban area";background;13;2
Bavaria;DEBY093;Sulzbach-Rosenberg/Lohe;"suburban area";background;15;1
Bavaria;DEBY099;Augsburg/LfU;"suburban area";background;12;2
Bavaria;DEBY109;Andechs/Rothenfeld;"rural regional";background;11;1
Bavaria;DEBY118;Passau/Stelzhamerstraße;"urban area";background;17;5
Bavaria;DEBY122;"Bad Hindelang/Oberjoch";"rural regional";background;7;0
Bavaria;DEBY188;Schwabach/Angerstraße;"urban area";background;14;1
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;17;2
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;16;3
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;15;4
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;16;4
Bavaria;DEBY033;Landshut/Podewilsstraße;"urban area";traffic;14;4
Bavaria;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"urban area";traffic;14;1
Bavaria;DEBY037;München/Stachus;"urban area";traffic;18;2
