Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

10.05.2021 16:00;23;17;35;60;98;0.8;1.8;0.3
10.05.2021 17:00;28;12;33;52;106;0.7;1.9;0.3
10.05.2021 18:00;31;5;27;35;108;0.7;1.9;0.3
10.05.2021 19:00;21;12;49;66;89;1.9;3.5;0.4
10.05.2021 20:00;22;5;36;44;89;1.8;3.4;0.3
10.05.2021 21:00;21;1;18;20;90;1.9;2.1;0.3
10.05.2021 22:00;21;0;23;23;76;0.9;1.8;0.3
10.05.2021 23:00;26;3;36;41;55;0.8;2.5;0.4
11.05.2021 00:00;21;0;16;16;74;0.9;3.1;0.2
11.05.2021 01:00;19;0;5;4;84;0.3;1.1;0.2
11.05.2021 02:00;16;0;4;4;87;0.2;0.6;0.2
11.05.2021 03:00;13;0;2;3;89;1.0;0.4;0.2
11.05.2021 04:00;12;1;5;6;84;0.3;0.3;0.2
11.05.2021 05:00;14;1;6;7;84;0.2;0.4;0.2
11.05.2021 06:00;18;1;13;14;76;0.2;0.8;0.2
11.05.2021 07:00;26;5;29;36;56;0.3;0.7;0.2
11.05.2021 08:00;28;8;30;41;54;0.4;0.9;0.2
11.05.2021 09:00;30;13;34;53;50;0.6;1.9;0.3
11.05.2021 10:00;37;18;44;72;49;0.6;1.7;0.3
11.05.2021 11:00;37;19;43;72;64;0.6;2.0;0.3
11.05.2021 12:00;32;13;38;57;84;0.6;1.4;0.3
11.05.2021 13:00;29;6;24;34;111;0.6;1.8;0.3
11.05.2021 14:00;34;;;;101;;;0.3
11.05.2021 15:00;45;13;41;61;107;0.9;3.0;0.3
11.05.2021 16:00;38;15;42;66;108;0.9;2.4;0.3
11.05.2021 17:00;41;13;45;65;108;0.7;2.0;0.3
11.05.2021 18:00;35;10;38;53;115;0.9;3.0;0.3
11.05.2021 19:00;30;4;27;32;125;1.9;2.1;0.3
11.05.2021 20:00;30;3;21;24;126;0.6;1.5;0.3
11.05.2021 21:00;26;3;21;26;84;0.5;1.3;0.3
11.05.2021 22:00;23;7;24;34;61;0.5;1.3;0.3
11.05.2021 23:00;27;4;13;19;68;0.5;1.3;0.2
12.05.2021 00:00;12;1;8;10;85;0.3;0.7;0.2
12.05.2021 01:00;11;2;11;14;88;0.2;0.5;0.2
12.05.2021 02:00;16;2;11;14;68;0.2;0.5;0.2
12.05.2021 03:00;15;2;11;14;58;0.2;0.7;0.2
12.05.2021 04:00;16;2;10;12;59;0.2;0.6;0.2
12.05.2021 05:00;16;4;13;18;54;0.2;0.6;0.2
12.05.2021 06:00;14;5;16;23;51;0.2;0.9;0.2
12.05.2021 07:00;13;14;30;52;41;0.6;0.7;0.2
12.05.2021 08:00;19;34;44;95;28;0.5;1.1;0.3
12.05.2021 09:00;17;26;36;77;35;0.7;1.7;0.3
12.05.2021 10:00;21;34;39;90;33;0.8;1.8;0.3
12.05.2021 11:00;20;;;;34;0.6;1.3;0.3
12.05.2021 12:00;23;28;30;73;35;0.6;1.4;0.3
12.05.2021 13:00;24;14;23;45;38;0.6;1.7;0.3
12.05.2021 14:00;25;16;26;50;38;0.4;1.5;0.3
12.05.2021 15:00;25;6;20;30;43;0.5;1.2;0.2
12.05.2021 16:00;24;7;21;31;43;0.4;1.2;0.2
12.05.2021 17:00;19;4;21;28;45;0.4;1.7;0.2
12.05.2021 18:00;19;4;21;27;44;0.5;1.3;0.2
12.05.2021 19:00;19;4;18;25;46;0.4;1.3;0.2
12.05.2021 20:00;20;2;15;17;47;0.4;1.2;0.2
12.05.2021 21:00;20;2;16;20;42;0.4;0.9;0.2
12.05.2021 22:00;18;1;11;13;46;0.4;1.0;0.2
12.05.2021 23:00;18;1;10;11;46;0.4;1.0;0.2
13.05.2021 00:00;17;0;8;9;47;0.4;0.8;0.2
13.05.2021 01:00;19;0;7;7;46;0.2;0.6;0.2
13.05.2021 02:00;15;0;4;5;58;0.3;0.8;0.2
13.05.2021 03:00;13;0;4;4;63;0.3;0.5;0.2
13.05.2021 04:00;12;0;3;4;64;0.2;0.4;0.2
13.05.2021 05:00;13;0;6;6;60;0.7;0.4;0.2
13.05.2021 06:00;13;0;4;4;61;0.3;0.3;0.2
13.05.2021 07:00;12;1;4;5;59;0.2;1.1;0.2
13.05.2021 08:00;11;1;4;5;57;0.2;0.4;0.2
13.05.2021 09:00;10;1;5;7;55;0.2;0.5;0.2
13.05.2021 10:00;11;1;7;9;51;0.2;0.6;0.2
13.05.2021 11:00;11;3;11;14;46;0.3;0.7;0.2
13.05.2021 12:00;9;4;14;20;39;0.3;0.7;0.2
13.05.2021 13:00;11;8;16;28;34;0.4;0.9;0.3
13.05.2021 14:00;12;15;24;47;27;0.7;1.8;0.3
13.05.2021 15:00;9;10;19;34;33;0.6;1.5;0.3
13.05.2021 16:00;9;5;13;21;39;0.6;1.1;0.2
13.05.2021 17:00;8;6;14;23;37;0.5;1.0;0.2
13.05.2021 18:00;8;5;14;22;36;0.4;0.8;0.2
13.05.2021 19:00;9;4;15;22;36;0.4;0.9;0.3
13.05.2021 20:00;8;2;13;16;39;0.4;0.9;0.2
13.05.2021 21:00;8;1;10;12;45;0.7;0.8;0.2
13.05.2021 22:00;10;2;13;16;43;0.4;1.1;0.2
13.05.2021 23:00;10;3;14;18;39;0.8;0.7;0.2
14.05.2021 00:00;9;4;12;18;40;0.5;0.8;0.2
14.05.2021 01:00;7;1;8;10;44;0.4;0.6;0.2
14.05.2021 02:00;7;3;10;14;42;0.3;0.5;0.2
14.05.2021 03:00;6;1;6;8;46;0.2;0.5;0.2
14.05.2021 04:00;6;2;7;10;45;0.2;0.3;0.2
14.05.2021 05:00;5;5;8;16;47;0.2;0.4;0.2
14.05.2021 06:00;7;3;11;16;45;0.2;0.6;0.2
14.05.2021 07:00;7;14;27;49;35;0.3;0.9;0.2
14.05.2021 08:00;6;19;31;60;39;0.4;0.8;0.2
14.05.2021 09:00;7;20;31;61;37;0.5;1.4;0.3
14.05.2021 10:00;8;23;35;69;40;0.6;1.3;0.3
14.05.2021 11:00;7;23;38;74;38;0.6;1.1;0.3
14.05.2021 12:00;7;23;36;71;43;0.7;1.5;0.3
14.05.2021 13:00;9;16;29;54;61;0.7;2.1;0.3
14.05.2021 14:00;10;16;24;48;64;1.1;1.1;0.3
14.05.2021 15:00;12;12;24;42;56;0.6;1.4;0.3
14.05.2021 16:00;10;11;22;39;60;0.4;0.9;0.3
14.05.2021 17:00;8;10;23;38;66;0.6;1.7;0.3
14.05.2021 18:00;8;10;24;39;65;0.6;1.3;0.3
14.05.2021 19:00;8;7;18;28;72;0.4;0.9;0.2
14.05.2021 20:00;8;5;18;25;68;0.4;0.9;0.2
14.05.2021 21:00;9;7;22;32;63;0.5;0.8;0.3
14.05.2021 22:00;9;7;25;37;57;0.5;0.9;0.3
14.05.2021 23:00;11;9;28;41;53;0.7;2.3;0.3
15.05.2021 00:00;13;7;30;40;47;0.6;1.4;0.3
15.05.2021 01:00;12;5;25;33;50;0.5;0.9;0.2
15.05.2021 02:00;12;1;21;22;52;0.4;0.9;0.2
15.05.2021 03:00;13;2;23;25;43;0.4;0.8;0.2
15.05.2021 04:00;15;3;33;36;23;0.4;1.1;0.3
15.05.2021 05:00;16;7;41;52;12;0.5;1.6;0.3
15.05.2021 06:00;16;11;34;51;17;0.9;1.9;0.3
15.05.2021 07:00;15;14;36;57;20;0.6;2.0;0.3
15.05.2021 08:00;16;15;29;52;28;0.5;1.6;0.3
15.05.2021 09:00;19;10;22;37;39;0.3;1.4;0.3
15.05.2021 10:00;20;10;21;36;46;0.5;1.3;0.3
15.05.2021 11:00;21;8;18;30;62;0.5;1.4;0.3
15.05.2021 12:00;21;5;15;22;74;0.6;1.5;0.3
15.05.2021 13:00;15;5;13;21;74;0.5;1.1;0.3
15.05.2021 14:00;11;6;14;23;75;0.5;1.3;0.3
15.05.2021 15:00;9;5;12;20;80;0.5;1.5;0.2
15.05.2021 16:00;9;3;10;14;81;0.4;1.1;0.2
15.05.2021 17:00;9;4;11;18;83;0.4;1.0;0.2
15.05.2021 18:00;9;4;12;17;87;0.3;0.7;0.2
15.05.2021 19:00;9;2;15;19;80;0.4;0.8;0.2
15.05.2021 20:00;9;2;15;18;82;0.3;0.8;0.2
15.05.2021 21:00;9;3;19;23;76;0.4;1.3;0.3
15.05.2021 22:00;10;2;23;26;68;0.7;2.3;0.2
15.05.2021 23:00;12;3;26;30;59;0.5;1.6;0.3
16.05.2021 00:00;13;4;19;25;59;0.7;2.0;0.3
16.05.2021 01:00;11;2;14;17;60;0.6;1.1;0.2
16.05.2021 02:00;11;2;15;18;56;0.4;0.9;0.2
16.05.2021 03:00;10;3;18;22;53;0.5;1.1;0.2
16.05.2021 04:00;9;1;13;15;52;0.4;0.8;0.2
16.05.2021 05:00;10;2;15;18;44;0.3;0.9;0.2
16.05.2021 06:00;11;4;18;24;36;0.4;0.9;0.2
16.05.2021 07:00;10;2;13;16;43;0.4;1.1;0.2
16.05.2021 08:00;9;2;11;15;46;0.4;1.3;0.2
16.05.2021 09:00;10;4;13;19;45;0.4;0.8;0.2
16.05.2021 10:00;9;4;10;16;48;0.4;0.9;0.2
16.05.2021 11:00;8;5;11;18;51;0.5;1.0;0.2
16.05.2021 12:00;7;5;11;19;59;0.5;1.1;0.2
16.05.2021 13:00;9;5;10;18;64;0.6;0.8;0.2
16.05.2021 14:00;10;5;9;16;70;0.4;0.9;0.2
