Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

10.05.2021 16:00;18;1;11;12
10.05.2021 17:00;17;1;11;12
10.05.2021 18:00;16;0;11;11
10.05.2021 19:00;14;0;11;12
10.05.2021 20:00;16;0;9;9
10.05.2021 21:00;15;0;9;9
10.05.2021 22:00;14;0;11;11
10.05.2021 23:00;15;0;20;21
11.05.2021 00:00;16;0;12;13
11.05.2021 01:00;17;0;5;5
11.05.2021 02:00;14;0;4;5
11.05.2021 03:00;12;0;4;4
11.05.2021 04:00;12;0;5;5
11.05.2021 05:00;13;0;5;6
11.05.2021 06:00;14;1;9;10
11.05.2021 07:00;18;1;17;18
11.05.2021 08:00;23;2;20;24
11.05.2021 09:00;27;4;25;31
11.05.2021 10:00;30;4;28;34
11.05.2021 11:00;25;4;23;29
11.05.2021 12:00;25;3;17;21
11.05.2021 13:00;25;1;14;15
11.05.2021 14:00;28;1;20;21
11.05.2021 15:00;27;0;12;13
11.05.2021 16:00;26;1;14;15
11.05.2021 17:00;25;0;10;11
11.05.2021 18:00;27;1;16;17
11.05.2021 19:00;26;0;10;11
11.05.2021 20:00;24;0;9;10
11.05.2021 21:00;20;0;9;10
11.05.2021 22:00;20;0;10;10
11.05.2021 23:00;24;0;6;7
12.05.2021 00:00;10;0;6;6
12.05.2021 01:00;9;1;7;8
12.05.2021 02:00;13;0;8;8
12.05.2021 03:00;13;0;7;8
12.05.2021 04:00;13;0;4;5
12.05.2021 05:00;13;0;5;5
12.05.2021 06:00;11;1;10;10
12.05.2021 07:00;11;1;15;18
12.05.2021 08:00;15;2;18;21
12.05.2021 09:00;15;2;17;21
12.05.2021 10:00;15;4;15;21
12.05.2021 11:00;18;2;13;17
12.05.2021 12:00;20;2;9;12
12.05.2021 13:00;19;2;8;10
12.05.2021 14:00;21;2;9;12
12.05.2021 15:00;21;2;10;12
12.05.2021 16:00;20;1;10;12
12.05.2021 17:00;18;1;11;13
12.05.2021 18:00;16;1;10;11
12.05.2021 19:00;16;1;9;10
12.05.2021 20:00;16;0;10;10
12.05.2021 21:00;16;0;11;11
12.05.2021 22:00;14;0;9;10
12.05.2021 23:00;15;0;9;9
13.05.2021 00:00;17;1;8;9
13.05.2021 01:00;18;0;7;7
13.05.2021 02:00;14;0;5;6
13.05.2021 03:00;12;0;4;4
13.05.2021 04:00;11;0;3;3
13.05.2021 05:00;12;0;4;5
13.05.2021 06:00;12;0;5;4
13.05.2021 07:00;11;0;6;5
13.05.2021 08:00;10;0;7;7
13.05.2021 09:00;8;0;5;5
13.05.2021 10:00;9;0;6;6
13.05.2021 11:00;10;0;7;7
13.05.2021 12:00;7;0;9;9
13.05.2021 13:00;8;1;10;10
13.05.2021 14:00;8;0;9;10
13.05.2021 15:00;6;0;8;8
13.05.2021 16:00;6;1;6;7
13.05.2021 17:00;5;0;6;6
13.05.2021 18:00;5;1;8;9
13.05.2021 19:00;5;0;9;9
13.05.2021 20:00;6;0;10;10
13.05.2021 21:00;6;1;10;11
13.05.2021 22:00;6;0;10;9
13.05.2021 23:00;6;0;9;8
14.05.2021 00:00;5;1;6;6
14.05.2021 01:00;5;0;5;4
14.05.2021 02:00;5;0;5;4
14.05.2021 03:00;4;0;5;5
14.05.2021 04:00;4;0;5;4
14.05.2021 05:00;4;0;4;4
14.05.2021 06:00;6;0;5;4
14.05.2021 07:00;5;1;8;10
14.05.2021 08:00;5;1;9;11
14.05.2021 09:00;6;2;11;14
14.05.2021 10:00;6;3;13;17
14.05.2021 11:00;5;2;11;13
14.05.2021 12:00;6;2;13;16
14.05.2021 13:00;7;2;10;13
14.05.2021 14:00;8;2;7;10
14.05.2021 15:00;9;26;16;57
14.05.2021 16:00;7;2;7;9
14.05.2021 17:00;6;1;6;7
14.05.2021 18:00;5;1;7;9
14.05.2021 19:00;5;1;4;6
14.05.2021 20:00;5;1;4;5
14.05.2021 21:00;6;1;5;6
14.05.2021 22:00;6;1;6;8
14.05.2021 23:00;7;1;8;9
15.05.2021 00:00;8;1;14;15
15.05.2021 01:00;8;1;11;12
15.05.2021 02:00;8;1;11;12
15.05.2021 03:00;9;1;16;17
15.05.2021 04:00;10;1;25;27
15.05.2021 05:00;11;1;32;33
15.05.2021 06:00;11;1;28;30
15.05.2021 07:00;11;3;25;30
15.05.2021 08:00;12;4;25;32
15.05.2021 09:00;15;3;14;19
15.05.2021 10:00;15;2;8;12
15.05.2021 11:00;16;1;6;8
15.05.2021 12:00;15;1;4;6
15.05.2021 13:00;13;1;5;6
15.05.2021 14:00;7;1;5;7
15.05.2021 15:00;7;1;5;7
15.05.2021 16:00;10;1;5;6
15.05.2021 17:00;13;2;9;11
15.05.2021 18:00;6;1;6;8
15.05.2021 19:00;7;1;8;9
15.05.2021 20:00;6;1;7;9
15.05.2021 21:00;6;1;10;11
15.05.2021 22:00;7;1;14;15
15.05.2021 23:00;7;1;13;14
16.05.2021 00:00;9;0;18;18
16.05.2021 01:00;11;0;15;16
16.05.2021 02:00;8;0;12;12
16.05.2021 03:00;8;0;11;11
16.05.2021 04:00;7;0;12;12
16.05.2021 05:00;8;0;15;15
16.05.2021 06:00;8;1;14;15
16.05.2021 07:00;7;1;12;13
16.05.2021 08:00;8;1;10;12
16.05.2021 09:00;7;2;8;10
16.05.2021 10:00;7;1;6;8
16.05.2021 11:00;6;1;6;7
16.05.2021 12:00;6;1;4;5
16.05.2021 13:00;7;1;4;6
16.05.2021 14:00;7;1;3;5
16.05.2021 15:00;6;1;5;6
16.05.2021 16:00;6;1;5;6
16.05.2021 17:00;7;1;6;8
16.05.2021 18:00;7;1;3;4
16.05.2021 19:00;7;0;6;7
16.05.2021 20:00;8;0;7;8
16.05.2021 21:00;8;1;10;11
16.05.2021 22:00;8;0;13;13
16.05.2021 23:00;6;0;13;14
17.05.2021 00:00;6;0;13;14
17.05.2021 01:00;6;0;14;14
17.05.2021 02:00;6;0;15;15
17.05.2021 03:00;6;0;13;12
17.05.2021 04:00;8;0;16;15
17.05.2021 05:00;7;0;17;16
17.05.2021 06:00;8;0;19;19
17.05.2021 07:00;8;2;24;28
17.05.2021 08:00;8;10;26;41
17.05.2021 09:00;8;3;19;24
17.05.2021 10:00;7;3;13;18
17.05.2021 11:00;8;2;12;16
17.05.2021 12:00;8;2;11;14
17.05.2021 13:00;7;1;9;9
