Station;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln;042 Neukölln
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

10.05.2021 16:00;16;1;11;12;125;0.4;0.7
10.05.2021 17:00;17;1;13;15;130;0.5;1.0
10.05.2021 18:00;18;1;12;14;131;0.5;1.2
10.05.2021 19:00;21;3;19;23;111;0.7;2.1
10.05.2021 20:00;23;3;26;31;96;1.0;4.5
10.05.2021 21:00;24;3;21;25;87;1.1;3.9
10.05.2021 22:00;23;2;31;34;68;1.3;5.3
10.05.2021 23:00;26;2;46;48;44;1.4;6.3
11.05.2021 00:00;21;1;26;27;64;1.6;7.2
11.05.2021 01:00;20;1;11;12;76;0.8;3.0
11.05.2021 02:00;16;0;7;7;86;0.5;1.5
11.05.2021 03:00;15;0;6;6;87;0.4;1.2
11.05.2021 04:00;10;0;6;7;82;0.3;0.8
11.05.2021 05:00;11;0;7;7;81;0.3;0.8
11.05.2021 06:00;13;1;13;14;75;0.3;0.7
11.05.2021 07:00;16;1;20;23;63;0.4;1.0
11.05.2021 08:00;18;3;22;26;60;0.5;1.1
11.05.2021 09:00;21;3;20;25;62;0.5;1.3
11.05.2021 10:00;20;3;20;24;74;0.5;1.3
11.05.2021 11:00;18;2;16;20;92;0.5;1.1
11.05.2021 12:00;18;2;13;16;110;0.4;0.9
11.05.2021 13:00;20;2;12;14;125;0.4;0.7
11.05.2021 14:00;20;2;13;16;137;0.5;1.1
11.05.2021 15:00;21;1;9;11;140;0.4;0.9
11.05.2021 16:00;19;1;9;11;138;0.4;1.1
11.05.2021 17:00;20;1;10;12;139;0.4;0.8
11.05.2021 18:00;25;2;19;23;133;0.6;2.1
11.05.2021 19:00;26;3;19;23;133;0.7;2.2
11.05.2021 20:00;23;1;13;15;130;0.5;1.5
11.05.2021 21:00;19;2;12;16;85;0.6;1.5
11.05.2021 22:00;18;2;13;16;70;0.4;1.1
11.05.2021 23:00;19;1;7;8;74;0.4;0.8
12.05.2021 00:00;9;1;8;9;87;0.3;0.6
12.05.2021 01:00;8;1;10;12;85;0.3;0.7
12.05.2021 02:00;11;1;9;11;65;0.4;1.0
12.05.2021 03:00;11;1;6;7;61;0.3;0.8
12.05.2021 04:00;12;1;6;7;61;0.3;0.7
12.05.2021 05:00;11;1;5;6;61;0.3;0.7
12.05.2021 06:00;10;1;12;14;55;0.3;0.6
12.05.2021 07:00;9;3;15;19;52;0.3;0.7
12.05.2021 08:00;10;3;17;21;49;0.3;0.9
12.05.2021 09:00;12;3;16;21;50;0.5;1.1
12.05.2021 10:00;13;4;16;22;49;0.6;1.5
12.05.2021 11:00;16;3;16;21;47;0.5;1.4
12.05.2021 12:00;19;4;17;24;43;0.5;1.6
12.05.2021 13:00;18;4;12;18;46;0.6;1.9
12.05.2021 14:00;18;2;11;14;49;0.5;1.2
12.05.2021 15:00;18;4;13;20;49;0.4;1.0
12.05.2021 16:00;17;3;14;18;49;0.4;1.1
12.05.2021 17:00;15;2;14;17;52;0.6;1.7
12.05.2021 18:00;15;2;14;17;50;0.4;1.1
12.05.2021 19:00;15;4;16;22;49;1.8;17.8
12.05.2021 20:00;16;5;20;28;44;0.7;7.5
12.05.2021 21:00;15;3;17;21;40;0.6;2.4
12.05.2021 22:00;15;1;14;16;44;0.6;2.5
12.05.2021 23:00;14;1;13;15;45;0.5;1.7
13.05.2021 00:00;16;1;11;12;45;0.4;1.5
13.05.2021 01:00;16;1;9;10;46;0.4;1.2
13.05.2021 02:00;12;1;8;8;54;0.4;1.0
13.05.2021 03:00;10;1;6;7;59;0.3;0.8
13.05.2021 04:00;9;1;6;6;61;0.2;0.8
13.05.2021 05:00;10;1;6;7;60;0.2;0.6
13.05.2021 06:00;10;1;7;8;60;0.3;0.7
13.05.2021 07:00;9;0;7;7;55;0.2;0.7
13.05.2021 08:00;9;1;7;8;54;0.2;0.8
13.05.2021 09:00;8;1;6;8;53;0.3;0.8
13.05.2021 10:00;9;1;8;9;49;0.4;1.0
13.05.2021 11:00;9;1;7;8;47;0.4;0.9
13.05.2021 12:00;7;4;14;20;39;0.4;0.9
13.05.2021 13:00;8;3;11;16;36;0.5;1.3
13.05.2021 14:00;8;1;11;13;35;0.6;1.2
13.05.2021 15:00;7;2;10;13;38;0.6;1.2
13.05.2021 16:00;6;2;9;11;39;0.5;1.0
13.05.2021 17:00;5;2;9;13;37;0.6;1.4
13.05.2021 18:00;6;1;8;10;38;0.5;0.9
13.05.2021 19:00;6;1;10;12;38;0.7;2.0
13.05.2021 20:00;6;2;10;14;40;0.5;1.0
13.05.2021 21:00;6;1;10;12;43;0.4;1.0
13.05.2021 22:00;6;1;9;11;44;0.6;1.0
13.05.2021 23:00;6;1;9;11;41;0.4;0.9
14.05.2021 00:00;5;0;7;7;44;0.4;0.9
14.05.2021 01:00;5;1;6;8;44;0.4;1.0
14.05.2021 02:00;5;;;;44;0.3;0.8
14.05.2021 03:00;5;;;;40;0.3;0.8
14.05.2021 04:00;4;;;;41;0.4;0.9
14.05.2021 05:00;4;;;;48;0.3;0.9
14.05.2021 06:00;5;;;;51;0.3;0.7
14.05.2021 07:00;5;;;;46;0.3;0.7
14.05.2021 08:00;5;;;;47;0.5;1.8
14.05.2021 09:00;6;;;;44;0.5;1.3
14.05.2021 10:00;6;;;;59;0.4;1.2
