Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte

10.05.2021 16:00;3;18;22
10.05.2021 17:00;2;16;19
10.05.2021 18:00;0;11;11
10.05.2021 19:00;0;8;8
10.05.2021 20:00;0;10;10
10.05.2021 21:00;0;14;13
10.05.2021 22:00;0;13;13
10.05.2021 23:00;0;20;20
11.05.2021 00:00;0;17;17
11.05.2021 01:00;0;10;9
11.05.2021 02:00;0;9;9
11.05.2021 03:00;0;7;7
11.05.2021 04:00;0;7;6
11.05.2021 05:00;0;8;9
11.05.2021 06:00;0;9;9
11.05.2021 07:00;1;17;19
11.05.2021 08:00;3;25;30
11.05.2021 09:00;3;24;28
11.05.2021 10:00;3;23;28
11.05.2021 11:00;3;16;20
11.05.2021 12:00;2;13;16
11.05.2021 13:00;1;13;14
11.05.2021 14:00;1;14;16
11.05.2021 15:00;1;11;12
11.05.2021 16:00;1;9;10
11.05.2021 17:00;1;11;12
11.05.2021 18:00;1;15;17
11.05.2021 19:00;0;13;13
11.05.2021 20:00;0;14;15
11.05.2021 21:00;0;14;14
11.05.2021 22:00;0;10;10
11.05.2021 23:00;0;6;7
12.05.2021 00:00;0;5;5
12.05.2021 01:00;0;8;8
12.05.2021 02:00;0;5;5
12.05.2021 03:00;0;4;4
12.05.2021 04:00;0;5;5
12.05.2021 05:00;0;5;5
12.05.2021 06:00;0;6;6
12.05.2021 07:00;1;9;10
12.05.2021 08:00;2;11;14
12.05.2021 09:00;3;13;17
12.05.2021 10:00;4;14;20
12.05.2021 11:00;3;13;18
12.05.2021 12:00;2;9;12
12.05.2021 13:00;3;11;16
12.05.2021 14:00;2;13;17
12.05.2021 15:00;2;11;14
12.05.2021 16:00;1;8;10
12.05.2021 17:00;1;10;11
12.05.2021 18:00;1;11;12
12.05.2021 19:00;1;18;20
12.05.2021 20:00;1;18;20
12.05.2021 21:00;1;12;13
12.05.2021 22:00;1;10;10
12.05.2021 23:00;0;7;7
13.05.2021 00:00;0;5;6
13.05.2021 01:00;0;6;6
13.05.2021 02:00;0;6;6
13.05.2021 03:00;0;5;5
13.05.2021 04:00;0;3;3
13.05.2021 05:00;0;2;2
13.05.2021 06:00;0;2;2
13.05.2021 07:00;0;4;5
13.05.2021 08:00;0;5;5
13.05.2021 09:00;0;5;5
13.05.2021 10:00;0;5;6
13.05.2021 11:00;1;7;8
13.05.2021 12:00;1;9;10
13.05.2021 13:00;1;17;19
13.05.2021 14:00;1;14;15
13.05.2021 15:00;1;13;15
13.05.2021 16:00;1;10;12
13.05.2021 17:00;1;12;14
13.05.2021 18:00;1;17;19
13.05.2021 19:00;1;12;13
13.05.2021 20:00;0;8;9
13.05.2021 21:00;0;9;10
13.05.2021 22:00;0;9;9
13.05.2021 23:00;0;11;11
14.05.2021 00:00;0;15;15
14.05.2021 01:00;0;7;7
14.05.2021 02:00;0;5;6
14.05.2021 03:00;0;6;6
14.05.2021 04:00;0;6;6
14.05.2021 05:00;0;5;5
14.05.2021 06:00;0;7;7
