Station;018 Schöneberg;018 Schöneberg;018 Schöneberg
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte

10.06.2021 14:00;1;7;8
10.06.2021 15:00;1;6;7
10.06.2021 16:00;1;6;7
10.06.2021 17:00;1;6;8
10.06.2021 18:00;1;7;8
10.06.2021 19:00;1;6;7
10.06.2021 20:00;1;7;8
10.06.2021 21:00;1;8;9
10.06.2021 22:00;1;11;12
10.06.2021 23:00;1;12;13
11.06.2021 00:00;0;11;11
11.06.2021 01:00;0;9;9
11.06.2021 02:00;0;10;10
11.06.2021 03:00;0;9;9
11.06.2021 04:00;0;12;12
11.06.2021 05:00;0;14;14
11.06.2021 06:00;0;19;19
11.06.2021 07:00;1;23;25
11.06.2021 08:00;1;27;29
11.06.2021 09:00;2;27;30
11.06.2021 10:00;1;19;21
11.06.2021 11:00;1;15;16
11.06.2021 12:00;0;8;8
11.06.2021 13:00;0;6;6
11.06.2021 14:00;0;7;7
