"district_id","urban_population","district_name","urban"
1,100,"Hl.m. Praha",1204953
2,46.7,"Benesov",41509
3,41.7,"Beroun",31372
4,67.4,"Kladno",101028
5,51.4,"Kolin",49147
6,51.5,"Kutna Hora",40151
7,63.4,"Melnik",60056
8,69.4,"Mlada Boleslav",77773
9,55.3,"Nymburk",44983
10,46.7,"Praha - vychod",43003
11,36.5,"Praha - zapad",27608
12,58,"Pribram",62565
13,41.3,"Rakovnik",22269
14,74.8,"Ceske Budejovice",132909
15,51.9,"Cesky Krumlov",30515
16,56.9,"Jindrichuv Hradec",53447
17,61.4,"Pelhrimov",45474
18,65.3,"Pisek",46166
19,52.7,"Prachatice",27103
20,58.4,"Strakonice",41257
21,67,"Tabor",69242
22,52.4,"Domazlice",30602
23,85.5,"Cheb",74743
24,80,"Karlovy Vary",98082
25,61.7,"Klatovy",54763
26,100,"Plzen - mesto",170449
27,43.8,"Plzen - jih",29477
28,36.9,"Plzen - sever",26768
29,55.6,"Rokycany",25417
30,81.8,"Sokolov",77556
31,59.2,"Tachov",30377
32,81,"Ceska Lipa",85097
33,84.7,"Decin",113309
34,87.7,"Chomutov",109832
35,80.5,"Jablonec n. Nisou",71458
36,85.2,"Liberec",135994
37,62.3,"Litomerice",71026
38,59.8,"Louny",51339
39,89.9,"Most",107786
40,85.3,"Teplice",109285
41,85.6,"Usti nad Labem",101564
42,59.1,"Havlickuv Brod",56681
43,76.3,"Hradec Kralove",123495
44,53,"Chrudim",55971
45,53.5,"Jicin",41686
46,73.5,"Nachod",82841
47,72.8,"Pardubice",118358
48,59,"Rychnov nad Kneznou",46583
49,60.8,"Semily",46016
50,52,"Svitavy",53357
51,70.5,"Trutnov",85973
52,61.9,"Usti nad Orlici",86048
53,50.9,"Blansko",54927
54,100,"Brno - mesto",387570
55,33.9,"Brno - venkov",53237
56,46,"Breclav",57318
57,48,"Hodonin",77738
58,63.6,"Jihlava",69428
59,62.1,"Kromeriz",67609
60,51.9,"Prostejov",57424
61,53.8,"Trebic",63429
62,40.7,"Uherske Hradiste",59295
63,50.5,"Vyskov",43689
64,74.7,"Zlin",147233
65,43.7,"Znojmo",49905
66,48.3,"Zdar nad Sazavou",60777
67,63.1,"Bruntal",66920
68,57.2,"Frydek - Mistek",130901
69,48.4,"Jesenik",20725
70,89.9,"Karvina",256563
71,69.7,"Novy Jicin",112375
72,62.6,"Olomouc",141552
73,56.4,"Opava",102663
74,100,"Ostrava - mesto",323870
75,64.6,"Prerov",89169
76,51.2,"Sumperk",65213
77,53.5,"Vsetin",79472
