Country,year,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths
Afghanistan,2020,52330,2189,52330,2189
Afghanistan,2021,59262,2330,111592,4519
Albania,2020,57727,1174,57727,1174
Albania,2021,74772,1281,132499,2455
Algeria,2020,99311,2751,99311,2751
Algeria,2021,38092,918,137403,3669
American Samoa,2020,0,0,0,0
American Samoa,2021,0,0,0,0
Andorra,2020,7983,84,7983,84
Andorra,2021,5894,43,13877,127
Angola,2020,17371,399,17371,399
Angola,2021,20720,482,38091,881
Anguilla,2020,13,0,13,0
Anguilla,2021,96,0,109,0
Antigua and Barbuda,2020,158,5,158,5
Antigua and Barbuda,2021,1105,37,1263,42
Argentina,2020,1602163,43018,1602163,43018
Argentina,2021,2723938,47968,4326101,90986
Armenia,2020,158191,2802,158191,2802
Armenia,2021,66444,1703,224635,4505
Aruba,2020,5373,49,5373,49
Aruba,2021,5745,58,11118,107
Australia,2020,28381,909,28381,909
Australia,2021,2027,1,30408,910
Austria,2020,356351,6086,356351,6086
Austria,2021,289511,4353,645862,10439
Azerbaijan,2020,216584,2575,216584,2575
Azerbaijan,2021,119092,2390,335676,4965
Bahamas,2020,7857,170,7857,170
Bahamas,2021,4550,74,12407,244
Bahrain,2020,92425,352,92425,352
Bahrain,2021,171980,982,264405,1334
Bangladesh,2020,513510,7559,513510,7559
Bangladesh,2021,365294,6417,878804,13976
Barbados,2020,372,7,372,7
Barbados,2021,3680,40,4052,47
Belarus,2020,192361,1414,192361,1414
Belarus,2021,220778,1668,413139,3082
Belgium,2020,647684,19633,647684,19633
Belgium,2021,434224,5519,1081908,25152
Belize,2020,10668,241,10668,241
Belize,2021,2415,88,13083,329
Benin,2020,3251,44,3251,44
Benin,2021,4919,60,8170,104
Bermuda,2020,595,10,595,10
Bermuda,2021,1909,23,2504,33
Bhutan,2020,670,0,670,0
Bhutan,2021,1343,1,2013,1
Bolivia (Plurinational State of),2020,156887,9135,156887,9135
Bolivia (Plurinational State of),2021,269861,7194,426748,16329
Bonaire,2020,162,3,162,3
Bonaire,2021,1446,14,1608,17
Bosnia and Herzegovina,2020,110985,4050,110985,4050
Bosnia and Herzegovina,2021,93951,5603,204936,9653
Botswana,2020,14025,40,14025,40
Botswana,2021,56046,1055,70071,1095
Brazil,2020,7563551,192681,7563551,192681
Brazil,2021,10606330,314428,18169881,507109
British Virgin Islands,2020,93,1,93,1
British Virgin Islands,2021,202,0,295,1
Brunei Darussalam,2020,157,3,157,3
Brunei Darussalam,2021,99,0,256,3
Bulgaria,2020,201220,7515,201220,7515
Bulgaria,2021,220181,10507,421401,18022
Burkina Faso,2020,6537,82,6537,82
Burkina Faso,2021,6937,86,13474,168
Burundi,2020,818,2,818,2
Burundi,2021,4530,6,5348,8
Cabo Verde,2020,11793,112,11793,112
Cabo Verde,2021,20464,173,32257,285
Cambodia,2020,366,0,366,0
Cambodia,2021,45000,493,45366,493
Cameroon,2020,26277,448,26277,448
Cameroon,2021,54210,872,80487,1320
Canada,2020,565506,15378,565506,15378
Canada,2021,845421,10797,1410927,26175
Cayman Islands,2020,326,2,326,2
Cayman Islands,2021,283,0,609,2
Central African Republic,2020,4963,63,4963,63
Central African Republic,2021,2176,35,7139,98
Chad,2020,2077,104,2077,104
Chad,2021,2874,70,4951,174
Chile,2020,605950,16499,605950,16499
Chile,2021,925922,15298,1531872,31797
China,2020,96673,4788,96673,4788
China,2021,21367,663,118040,5451
Colombia,2020,1614822,42620,1614822,42620
Colombia,2021,2412194,59327,4027016,101947
Comoros,2020,765,9,765,9
Comoros,2021,3221,137,3986,146
Congo,2020,6200,100,6200,100
Congo,2021,6285,65,12485,165
Cook Islands,2020,0,0,0,0
Cook Islands,2021,0,0,0,0
Costa Rica,2020,166799,2156,166799,2156
Costa Rica,2021,190724,2411,357523,4567
Croatia,2020,210837,3920,22250,137
Croatia,2021,148684,4276,48058,309
Cuba,2020,11687,145,210837,3920
Cuba,2021,163102,1064,359521,8196
Curaçao,2020,4179,14,11687,145
Curaçao,2021,8143,111,174789,1209
Cyprus,2020,22019,119,4179,14
Cyprus,2021,52155,255,12322,125
Czechia,2020,718661,11580,22019,119
Czechia,2021,948025,18712,74174,374
Côte d’Ivoire,2020,22250,137,718661,11580
Côte d’Ivoire,2021,25808,172,1666686,30292
Democratic People's Republic of Korea,2020,0,0,0,0
Democratic People's Republic of Korea,2021,0,0,0,0
Democratic Republic of the Congo,2020,17180,584,17180,584
Democratic Republic of the Congo,2021,21758,312,38938,896
Denmark,2020,164411,1256,164411,1256
Denmark,2021,127941,1275,292352,2531
Djibouti,2020,5824,61,5824,61
Djibouti,2021,5773,94,11597,155
Dominica,2020,96,0,96,0
Dominica,2021,96,0,192,0
Dominican Republic,2020,169579,2409,169579,2409
Dominican Republic,2021,150557,1372,320136,3781
Ecuador,2020,211512,14023,211512,14023
Ecuador,2021,237971,7354,449483,21377
Egypt,2020,136644,7576,136644,7576
Egypt,2021,142540,8426,279184,16002
El Salvador,2020,45960,1327,45960,1327
El Salvador,2021,31524,1024,77484,2351
Equatorial Guinea,2020,5264,86,5264,86
Equatorial Guinea,2021,3448,34,8712,120
Eritrea,2020,1252,1,1252,1
Eritrea,2021,4412,20,5664,21
Estonia,2020,27990,229,27990,229
Estonia,2021,102918,1040,130908,1269
Eswatini,2020,9146,185,9146,185
Eswatini,2021,9801,493,18947,678
Ethiopia,2020,123856,1918,123856,1918
Ethiopia,2021,151745,2378,275601,4296
Falkland Islands (Malvinas),2020,29,0,29,0
Falkland Islands (Malvinas),2021,31,0,60,0
Faroe Islands,2020,605,0,605,0
Faroe Islands,2021,165,1,770,1
Fiji,2020,49,2,49,2
Fiji,2021,2799,11,2848,13
Finland,2020,35858,556,35858,556
Finland,2021,58861,413,94719,969
France,2020,2564972,64004,2564972,64004
France,2021,3090404,45997,5655376,110001
French Guiana,2020,13045,71,13045,71
French Guiana,2021,13995,71,27040,142
French Polynesia,2020,16851,114,16851,114
French Polynesia,2021,2141,28,18992,142
Gabon,2020,9571,64,9571,64
Gabon,2021,15387,95,24958,159
Gambia,2020,3797,124,3797,124
Gambia,2021,2268,57,6065,181
Georgia,2020,227420,2505,227420,2505
Georgia,2021,134763,2732,362183,5237
Germany,2020,1719737,33071,1719737,33071
Germany,2021,2005843,57607,3725580,90678
Ghana,2020,54771,335,54771,335
Ghana,2021,40488,459,95259,794
Gibraltar,2020,1785,6,1785,6
Gibraltar,2021,2547,88,4332,94
Greece,2020,137918,4788,137918,4788
Greece,2021,281991,7825,419909,12613
Greenland,2020,27,0,27,0
Greenland,2021,23,0,50,0
Grenada,2020,130,1,130,1
Grenada,2021,31,0,161,1
Guadeloupe,2020,8620,155,8620,155
Guadeloupe,2021,8807,111,17427,266
Guam,2020,7129,121,7129,121
Guam,2021,931,18,8060,139
Guatemala,2020,137166,4803,137166,4803
Guatemala,2021,147575,4042,284741,8845
Guernsey,2020,297,16,297,16
