country,iso3,who_region,data_source,date_updated,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_per100,vaccines_used,first_vaccine_date,number_vaccines_types_used
Afghanistan,AFG,EMRO,REPORTING,2021-06-22,765890.0,582128.0,1.967,1.495,"Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3.0
Albania,ALB,EURO,REPORTING,2021-06-20,875580.0,510783.0,30.4,17.749,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0
Algeria,DZA,AFRO,REPORTING,2021-06-24,,,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3.0
American Samoa,ASM,WPRO,REPORTING,2021-06-21,44293.0,24408.0,80.245,44.22,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3.0
Andorra,AND,EURO,REPORTING,2021-06-20,63272.0,38665.0,81.9,50.042,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0
Angola,AGO,AFRO,REPORTING,2021-06-24,1432699.0,909119.0,4.359,2.766,SII - Covishield,2021-03-10,1.0
Anguilla,AIA,AMRO,REPORTING,2021-06-18,15198.0,9183.0,101.306,61.212,AstraZeneca - Vaxzevria,2021-02-05,1.0
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-06-18,60011.0,35350.0,61.28,36.098,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-19,2.0
Argentina,ARG,AMRO,REPORTING,2021-06-18,17475935.0,13852316.0,38.667,30.65,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2020-12-29,4.0
Armenia,ARM,EURO,REPORTING,2021-06-20,64293.0,52509.0,2.2,1.772,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-06-16,3.0
Aruba,ABW,AMRO,REPORTING,2021-06-18,122680.0,66466.0,114.905,62.254,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-02-17,2.0
Australia,AUS,WPRO,REPORTING,2021-06-21,6719384.0,5921186.0,26.351,23.22,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-22,3.0
Austria,AUT,EURO,REPORTING,2021-06-20,6975733.0,4467648.0,78.4,50.192,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Azerbaijan,AZE,EURO,REPORTING,2021-06-13,2774693.0,1810344.0,27.4,17.855,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4.0
Bahamas,BHS,AMRO,REPORTING,2021-06-18,68119.0,50292.0,17.322,12.789,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-14,2.0
Bahrain,BHR,EMRO,REPORTING,2021-06-24,1978826.0,1048212.0,116.294,61.602,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-25,6.0
Bangladesh,BGD,SEARO,REPORTING,2021-06-22,10119041.0,5842531.0,6.144,3.548,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,4.0
Barbados,BRB,AMRO,REPORTING,2021-06-18,153350.0,89921.0,53.362,31.29,"AstraZeneca - Vaxzevria,SII - Covishield",2021-02-10,2.0
Belarus,BLR,EURO,REPORTING,2021-06-13,1068413.0,699141.0,11.3,7.399,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V",2021-02-03,2.0
Belgium,BEL,EURO,REPORTING,2021-06-20,9886360.0,6353879.0,85.8,55.144,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Belize,BLZ,AMRO,REPORTING,2021-06-18,95452.0,75123.0,24.005,18.893,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-01,3.0
Benin,BEN,AFRO,REPORTING,2021-06-24,26518.0,21834.0,0.219,0.18,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2.0
