Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,179513309,2303.064718790303,2560560,32.850686276111674,443740,3895661,49.97935504307009,57995,0.7440464392879297,9119,
United States of America,Americas,33257768,10047.58,82369,24.88,14239,597727,180.58,2136,0.65,355,Community transmission
India,South-East Asia,30082778,2179.9,382465,27.71,54069,391981,28.4,10078,0.73,1321,Clusters of cases
Brazil,Americas,18169881,8548.14,541293,254.65,115228,507109,238.57,13416,6.31,2392,Community transmission
France,Europe,5653580,8692.55,12599,19.37,2287,109957,169.06,269,0.41,33,Community transmission
Russian Federation,Europe,5388695,3692.54,124648,85.41,20182,131463,90.08,3471,2.38,568,Clusters of cases
Turkey,Europe,5387545,6387.96,39296,46.59,5809,49358,58.52,408,0.48,65,Community transmission
The United Kingdom,Europe,4667874,6876.05,78056,114.98,15882,128027,188.59,101,0.15,19,Community transmission
Argentina,Americas,4326101,9571.91,127481,282.06,27319,90986,201.32,3725,8.24,705,Community transmission
Italy,Europe,4255434,7135.02,7002,11.74,1140,127352,213.53,199,0.33,30,Clusters of cases
Colombia,Americas,4027016,7914.28,197137,387.43,29995,101947,200.36,4387,8.62,645,Community transmission
Spain,Europe,3773032,7971.32,20573,43.46,2124,80748,170.6,66,0.14,3,Community transmission
Germany,Europe,3724806,4478.72,5851,7.04,1008,90616,108.96,437,0.53,93,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3140129,3738.56,69703,82.99,11734,83473,99.38,854,1.02,144,Community transmission
Poland,Europe,2879336,7585.56,1060,2.79,144,74917,197.37,183,0.48,24,Community transmission
Mexico,Americas,2487747,1929.49,24357,18.89,4963,231847,179.82,1223,0.95,342,Community transmission
Ukraine,Europe,2231914,5103.41,4689,10.72,937,52181,119.32,279,0.64,58,Community transmission
Indonesia,South-East Asia,2053995,750.94,103719,37.92,20574,55949,20.45,2196,0.8,355,Community transmission
Peru,Americas,2036449,6176.33,21259,64.48,2843,191073,579.5,1551,4.7,167,Community transmission
South Africa,Africa,1861065,3137.93,86753,146.27,17493,59258,99.91,1140,1.92,166,Community transmission
Netherlands,Europe,1680880,9656.02,5341,30.68,679,17734,101.88,17,0.1,4,Community transmission
Czechia,Europe,1666521,15583.79,861,8.05,196,30291,283.25,34,0.32,2,Community transmission
Chile,Americas,1531872,8013.48,33641,175.98,3463,31797,166.34,657,3.44,51,Community transmission
Canada,Americas,1410927,3738.33,5781,15.32,721,26175,69.35,174,0.46,20,Community transmission
Philippines,Western Pacific,1378260,1257.75,38817,35.42,6043,24036,21.93,760,0.69,108,Community transmission
Iraq,Eastern Mediterranean,1311093,3259.6,36464,90.66,6093,16999,42.26,188,0.47,31,Community transmission
Sweden,Europe,1088518,10539.9,3919,37.95,506,14616,141.52,3,0.03,0,Community transmission
