,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.315,0.176,2,-23.482,0,0.0412,0.861,0.869,0.145,0.178,130.239,0vp7Q3FUiuaUI8ASS827LP,392307,4
1,0.0684,0.00586,5,-30.116,0,0.0362,0.866,0.629,0.163,0.0386,71.569,4YEoyaZEVicmGWB1Mc0Wyp,497067,4
2,0.455,0.364,8,-22.132,0,0.0383,0.798,0.91,0.0991,0.279,143.114,6DAeAO4SXZ9DdY2BDobbhm,179600,4
3,0.169,0.00455,8,-36.308,1,0.0373,0.872,0.597,0.101,0.0366,128.611,6CcS3XqF8SDvdl2WZso2Eu,446440,4
4,0.175,0.316,0,-21.265,0,0.0752,0.477,0.555,0.667,0.125,71.778,0FyVLgFsD1xJit8mwpkAfl,325427,4
5,0.652,0.102,7,-27.977,0,0.0368,0.953,0.944,0.119,0.459,118.889,6T0qqA7VmS7LxaEA0T37BK,126973,4
6,0.173,0.00233,8,-37.624,1,0.0493,0.96,0.862,0.0981,0.0283,67.315,1VG0VVcWDlt3HywpDDsj24,160533,3
7,0.368,0.143,0,-26.097,0,0.0335,0.79,0.899,0.138,0.454,78.272,0QFGA9Q53komhBtrndjUKW,87400,4
8,0.172,0.00617,5,-30.893,1,0.0401,0.962,0.934,0.159,0.04,135.975,0pVazQPWIUHPW04fTdcTvf,180893,5
9,0.556,0.314,10,-24.363,1,0.0887,0.866,0.654,0.107,0.266,157.701,4Ef7PgdoIGNZoQ7IoWlwdS,97507,4
10,0.287,0.128,5,-27.401,1,0.0374,0.903,0.84,0.842,0.505,103.821,6nY0MFnj4wz2uwRLrTjoUp,168027,4
11,0.0769,0.0041,4,-29.909,0,0.0421,0.924,0.828,0.12,0.038,80.38,2ioNMblGyN0ekSJIzABkpY,347453,1
12,0.112,0.00454,1,-39.482,0,0.0428,0.907,0.0168,0.112,0.0369,65.848,4QKzC3Ngnd4xVUkybucHXH,367747,3
13,0.162,0.189,11,-22.19,1,0.0895,0.458,0.944,0.684,0.147,132.815,0uZMiqKziFrrIitUyWA777,323733,4
14,0.0644,0.173,3,-35.992,1,0.113,0.968,0.903,0.712,0.346,69.329,45gILtMkZuipIPyzSDq14l,241827,4
15,0.168,0.0297,0,-26.017,1,0.0428,0.993,0.334,0.0602,0.0345,80.446,7HMWnM6qZnIl4vYjFCCuPM,250933,4
16,0.096,0.0745,2,-22.648,0,0.0431,0.992,0.279,0.103,0.0344,82.547,7iMoXStHU62Bno81bOe3Uf,328360,4
17,0.0894,0.0256,0,-27.27,1,0.0453,0.99,0.118,0.0702,0.0346,76.635,5CCDTkjz3nbDi0MLVU916R,193760,4
18,0.188,0.0207,5,-25.395,1,0.0393,0.992,0.415,0.0716,0.0314,65.328,0ECkmTpjG9msuSCynPiZwX,245067,3
19,0.251,0.19,5,-20.625,1,0.0381,0.98,0.403,0.102,0.245,70.185,2ofmtILC63Pq7aqvjup36r,138373,3
20,0.178,0.00855,2,-35.667,0,0.04,0.993,0.036,0.073,0.0348,131.474,2BO7T0rBtPoRfM6l2ckFdt,99347,1
21,0.17,0.0238,5,-29.294,1,0.041,0.99,0.217,0.102,0.0352,127.329,05NTzFPTKhxsJOEezb9iot,95227,5
22,0.184,0.0499,2,-27.224,0,0.0456,0.994,0.452,0.109,0.0395,69.616,4wB0GWqbWnn3oi8NwcwX8j,66507,4
23,0.12,0.0421,5,-30.327,1,0.0439,0.991,0.287,0.0874,0.0314,76.218,5Lw9IMVWtv7ptoKACCq62i,142253,3
