,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.723,0.665,6,-6.896,0,0.257,0.0553,0.0,0.0987,0.315,120.054,777evZve3OzCbGOVaVAGiU,148608,4
1,0.743,0.633,2,-7.285,1,0.183,0.0137,0.0,0.329,0.409,91.0,1KP448EPO76rDoht7vVA2g,264130,4
2,0.756,0.577,7,-7.127,1,0.0395,0.00277,0.0,0.309,0.685,92.036,5q9Et9kJTWvRg80uQLBW4s,172105,4
3,0.657,0.941,8,-3.919,0,0.061,0.0476,0.0,0.0797,0.879,136.202,7Kpqjspw4Y7HrvItIRcBiW,222400,4
4,0.785,0.825,4,-4.78,1,0.037,0.0133,0.0,0.393,0.966,124.061,2xEyclHzLJU0CwKiQ4DwJ4,177975,4
5,0.637,0.529,8,-8.499,1,0.262,0.445,8.57e-05,0.26,0.255,82.499,71bmVRciDypVa9FPsWbRfp,192026,4
6,0.333,0.442,5,-13.874,0,0.537,0.392,4.78e-05,0.496,0.259,69.553,4ZRHudTKq01zooSpFUTjZl,84693,3
7,0.746,0.555,11,-7.55,0,0.321,0.165,0.0,0.212,0.63,88.058,2nCx0euZLUHmlaGJ8woXeP,294400,4
8,0.744,0.55,5,-7.825,0,0.438,0.056,0.0,0.326,0.862,179.252,0Fo4UyPW2hqcVnbIVnZ3oX,333267,4
9,0.793,0.584,6,-8.343,0,0.209,0.00334,0.0,0.0885,0.798,152.011,4BaQ7mjI8zEUjf9ByJ8ve2,325467,4
10,0.785,0.642,8,-7.35,1,0.332,0.0471,0.0,0.119,0.598,82.812,3Z0ofkpAqXjEHNdXgNM0Ax,294333,4
11,0.735,0.398,0,-18.142,1,0.686,0.692,0.0,0.65,0.933,118.09,3MNAXjwZfvjD0oSpGl4O5W,77333,5
12,0.56,0.678,8,-7.175,1,0.368,0.557,0.0,0.232,0.852,86.147,5XP8AJDy1CLVgKqypAinAT,253667,4
13,0.827,0.552,10,-5.93,0,0.292,0.0659,0.0,0.106,0.703,98.011,4WPPwo44EOV1NZ2AlD1jtW,275307,4
14,0.611,0.553,1,-7.411,1,0.392,0.00464,0.0,0.0998,0.574,85.919,3uIDVaHUo62ZMn2tTP2gGO,283627,4
15,0.75,0.689,7,-6.115,1,0.272,0.149,0.0,0.338,0.7,88.063,7L6A6TImxoS7neh1nXxBmI,363400,4
16,0.745,0.72,1,-9.106,1,0.388,0.0139,0.0,0.247,0.673,90.044,6WbLhpW5jbVSQvcFCvHWU0,280840,4
17,0.715,0.687,1,-8.498,1,0.383,0.0393,0.0,0.536,0.476,172.565,50cL7wPYaYXFkZaKbzJoHj,313360,4
18,0.79,0.715,7,-5.719,1,0.0983,0.292,9.08e-06,0.148,0.779,88.01,2ytt74IC5UKcuLCylfOa7m,295200,4
19,0.605,0.685,6,-6.824,1,0.502,0.505,0.0,0.123,0.85,174.148,6XBuug2NBFgyIy9utpvyyO,315800,4
20,0.718,0.591,8,-6.667,0,0.265,0.0589,0.0,0.341,0.823,84.596,0kGlu6D5T2H6n2ADbEG4ad,201373,4
21,0.566,0.643,9,-8.197,1,0.334,0.0343,6.66e-06,0.0564,0.48,84.53,4djcZqvw5YpLvaTrb9tMpw,456600,4
