,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.523,0.279,4,-21.715,0,0.0466,0.936,0.921,0.974,0.594,97.101,04yW9pKk983TGpcHmn8KQP,330667,4
1,0.335,0.154,1,-25.574,1,0.0499,0.984,0.914,0.856,0.113,184.044,5vXJmlnBBQwl9RE6Vg75fU,299533,3
2,0.424,0.184,5,-23.582,0,0.0395,0.963,0.891,0.683,0.246,79.817,3WuNyS0A9Qlb9UXxM51VkU,377560,3
3,0.416,0.424,2,-17.458,1,0.0459,0.98,0.939,0.633,0.385,108.886,66j2M4V2NQsyWmR0OgnA5v,284667,4
4,0.298,0.111,7,-24.838,1,0.0676,0.995,0.944,0.663,0.0398,69.56,3xUifJSdMNedjkIpOoNsMC,819560,4
5,0.51,0.221,5,-23.547,1,0.0542,0.885,0.886,0.673,0.514,115.019,5ZzxpY96Nz8kpDTeLbUd19,412960,3
6,0.388,0.0374,6,-25.743,0,0.071,0.989,0.859,0.649,0.0722,176.675,3ETaHTY7ACGLqjhYskQ2Hj,291040,3
7,0.434,0.241,5,-19.652,0,0.0427,0.949,0.877,0.696,0.411,99.43,14OmPNHvy7CZqbvbnc0Mbb,351507,4
8,0.563,0.168,8,-9.358,1,0.109,0.93,2.67e-06,0.0615,0.457,99.218,56mE9lr4RPDZOB7Nx9mMA8,152720,3
9,0.568,0.123,3,-10.932,0,0.0365,0.919,2.57e-05,0.0941,0.475,106.062,4AvywEZJ5oPnRvXr6y1hE9,173573,4
10,0.503,0.174,5,-11.414,0,0.0345,0.946,1.27e-06,0.0858,0.344,133.0,01X3fI02PbBQSfz60Eza9b,202280,4
11,0.504,0.31,1,-8.177,1,0.0314,0.923,5.94e-05,0.0732,0.566,133.836,56vEuwMNI0pm50p5wQentZ,161200,4
12,0.276,0.237,10,-10.008,1,0.0321,0.956,1.53e-05,0.0978,0.273,82.273,0BQnu9NqBv1nzuaKIxhwAh,184187,4
13,0.589,0.0896,10,-11.699,0,0.037,0.981,1.06e-06,0.105,0.5,73.712,1x1Z3qiNelO9kQa9voLiqJ,155627,3
14,0.336,0.218,8,-12.171,1,0.036,0.914,0.603,0.233,0.243,134.567,36GGklgRABFV6Bg7kK2gnW,170227,4
15,0.423,0.139,6,-14.629,0,0.0332,0.984,0.188,0.0971,0.335,96.996,0JUVb2MwuMVC5gl9XalrJa,181053,4
16,0.371,0.161,0,-13.26,0,0.0314,0.977,0.272,0.12,0.245,68.089,4RMmUcnMG25o9dSTjMezkZ,181693,3
