,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.493,0.851,5,-10.102,1,0.0513,0.00117,0.0243,0.103,0.829,163.001,13mxsxpfEVuroVPMe3Fir9,143120,4
1,0.423,0.706,9,-8.944,0,0.0434,0.000577,0.0188,0.161,0.901,83.554,6T6ntaBrVD4gj9vuYOGmsM,137173,4
2,0.377,0.489,9,-10.059,1,0.0354,0.00298,7.74e-06,0.571,0.33,112.135,7n4m0FOkMFS4xkiAThd24P,201973,4
3,0.434,0.742,5,-8.007,1,0.0375,0.000503,7.59e-06,0.0468,0.661,136.796,0C7JCEEZ7QM3BrgbfLAd6v,101173,5
4,0.533,0.998,4,-3.972,1,0.0926,0.000932,1.46e-06,0.229,0.501,150.036,1uW2vabvdnFLqCdcqE6KlO,210900,4
5,0.48,0.98,4,-4.436,1,0.0854,0.00115,0.0,0.221,0.719,73.977,2Bc99Am3PqcUNOqYLpCRsQ,162052,4
6,0.554,0.938,11,-4.901,0,0.0532,0.000176,2.9e-06,0.147,0.4,96.5,1L9Pz5YARvakZNBElvkZjR,209703,4
7,0.509,0.843,7,-5.628,1,0.0275,0.00104,1.21e-05,0.0882,0.479,156.073,0lXuYThT8kQag9Xsc80T41,274615,4
8,0.54,0.993,11,-4.136,1,0.0958,3.6e-05,0.00153,0.333,0.273,107.996,0wALhdvIu3D3h1qnSo214u,176544,3
9,0.514,0.849,11,-5.668,1,0.06,0.0479,0.0,0.0951,0.365,154.995,2YRHf6o2vno44oBEjGPdGJ,218789,4
10,0.514,0.991,4,-4.685,1,0.108,2.6e-05,2.58e-05,0.369,0.251,139.969,1SIOfLEw942LORCczAS9Ct,225964,4
11,0.498,0.894,4,-6.628,0,0.0307,0.00142,0.0,0.0754,0.546,156.069,5fBmaoSxumJuL2fX1VLddm,227309,4
12,0.434,0.986,9,-3.686,0,0.113,0.00127,0.0,0.227,0.111,164.066,6Tc5uYvF20dyPM3XZHichM,236754,4
13,0.613,0.995,1,-4.301,0,0.0816,0.000293,0.000939,0.363,0.495,127.018,0IDB3AT6kBau29B13WS7uZ,151997,4
14,0.502,0.738,10,-7.57,1,0.0406,0.000377,4.53e-05,0.132,0.3,106.047,2pdnbqnbNfcq6OOA9Ia9su,275213,4
15,0.296,0.974,4,-6.138,1,0.201,0.0094,0.0,0.837,0.44,170.027,5ezgDECfpAcFFXs3O8Fd3x,229404,4
16,0.477,0.936,4,-5.236,0,0.0294,7.63e-05,0.0,0.14,0.593,159.972,31BdIdRSQ0MXpoTMQVWHXC,236438,4
17,0.514,0.968,7,-3.737,1,0.19,0.000137,0.00026,0.128,0.262,117.878,3DW6GVr7RVyfvo4NBRvZIZ,164797,3
18,0.589,0.797,9,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,36xBFaVGjqm7le8CTHytUj,291813,4
19,0.497,0.916,7,-3.323,1,0.108,0.000323,0.0,0.36,0.401,96.051,3WATWS2Ywo5HeHtG0bE2iZ,215004,4
20,0.462,0.99,1,-3.175,0,0.211,0.000103,0.0,0.374,0.204,137.061,6MD6xpFK4cfquxRqXxqwjq,220539,4
21,0.192,0.884,1,-5.42,0,0.143,0.404,0.174,0.43,0.0584,180.908,2VJ8DjdaOC5G3deIAefhq3,86243,4
22,0.434,0.929,1,-2.749,1,0.147,0.000207,0.00109,0.0916,0.428,92.541,7CAbF0By0Fpnbiu6Xn5ZF7,220042,4
23,0.452,0.937,1,-3.346,0,0.161,0.000209,3.61e-06,0.606,0.604,164.032,6sIbv1oWOuma2qV907MUbk,209598,4
24,0.294,0.679,8,-6.182,1,0.152,0.000551,5.13e-05,0.165,0.383,198.03,4xWirulal0kGikFE3WSU75,280152,3
25,0.309,0.467,9,-8.574,0,0.0466,0.687,0.0,0.0886,0.288,112.995,20Kau1BL5IUaPo4l488D57,243140,4
26,0.503,0.905,11,-3.985,0,0.0517,1.05e-05,0.113,0.277,0.334,93.989,3bVwfHr4vuJv6DGZal2Dpq,230053,4
27,0.498,0.946,2,-4.793,1,0.0602,0.000121,2.56e-05,0.359,0.31,106.275,5PCKCffFrcyUvnhxJoPlK2,213000,4
28,0.465,0.946,9,-4.205,1,0.068,1.77e-05,0.0844,0.134,0.338,133.802,1wYXIhJXqlIAGS6sbzpTL6,241147,4
29,0.316,0.935,5,-5.102,1,0.064,0.000268,0.439,0.485,0.19,106.023,2hfprXDHkcjKa2MQOhx1GA,262733,4
30,0.576,0.785,10,-4.873,1,0.0355,0.000389,0.0109,0.103,0.406,105.118,3ns1Hn52RB28zGVHiFvz7W,200960,4
31,0.371,0.851,2,-3.712,1,0.125,0.000249,4e-05,0.0951,0.515,104.033,3cdaqIaPz4QMr8lTu4PYrv,180160,4
32,0.505,0.924,2,-4.229,1,0.0548,0.000112,0.00456,0.169,0.324,113.953,1Ba8Xug4v3yg9k5CPX86OQ,257093,4
33,0.444,0.928,9,-4.996,1,0.0933,0.000981,0.178,0.314,0.349,92.246,6hfgguy5SkSwFX3BZLHJVa,268587,4
34,0.501,0.951,1,-3.979,0,0.0549,5.35e-06,0.0574,0.0831,0.345,93.972,3XzFcZXeGbOEmUtEZldz71,204747,4
35,0.568,0.925,9,-3.927,1,0.0842,0.000776,0.0539,0.076,0.381,107.931,2rk4pGqvwuF3poKGI0R2tC,208387,4
36,0.298,0.946,11,-3.937,0,0.0849,0.000309,0.00288,0.299,0.616,153.345,7mIdiI7RYJIu0uUvzemK7Q,173533,4
37,0.168,0.991,0,-4.502,0,0.24,6.37e-05,0.000817,0.357,0.174,75.568,7vF7D17xhpXw1DniGVY8nG,229427,4
38,0.367,0.97,2,-5.237,1,0.0672,0.000452,0.000109,0.214,0.398,111.097,2HOiBXZ5vxjII5vPCvrSEi,288400,4
39,0.527,0.981,2,-3.42,1,0.0885,0.0312,5.24e-06,0.347,0.413,125.651,2vjQGDxI8OY5dHXxvxAaGA,295627,4
40,0.388,0.864,4,-5.181,1,0.0544,0.00364,0.00071,0.133,0.101,110.548,7imseKD4ZmLuy83TDOlagk,290120,4
41,0.386,0.978,2,-3.595,1,0.173,0.000575,1.64e-06,0.106,0.0618,89.025,6K1cfUIyg9cwjd55bZjJcw,218320,4
42,0.243,0.452,7,-10.736,1,0.0318,0.514,0.0774,0.63,0.0759,122.427,7oThjyrKhuoiaCHLmISJsT,284787,4
43,0.366,0.991,2,-4.644,1,0.182,0.000164,0.00101,0.342,0.0703,112.645,5j5OyPYk3VwGmqyYaOsJAg,259413,4
44,0.428,0.978,2,-5.357,1,0.143,0.000297,1.72e-06,0.051,0.133,90.629,1hJIH2osRyqtWONXxHQQOD,290467,4
45,0.372,0.852,11,-6.742,1,0.0667,0.00571,0.00606,0.112,0.155,118.486,5edJjHkiAKzIbaymMszsKw,419947,4
46,0.411,0.996,1,-3.569,1,0.236,0.00186,4.13e-05,0.77,0.0632,90.495,3XxbSYIWJSv8PTbMOLATH0,273827,4
47,0.427,0.449,7,-5.065,1,0.111,0.000195,0.0191,0.352,0.0375,89.285,7HEtncK9e7FwqyVRmuOK3t,336467,4
48,0.221,0.982,7,-5.265,0,0.218,4.53e-05,0.0016,0.265,0.403,149.69,4aqnJOVqu8Ff1N71BJEFNO,247187,4
49,0.237,0.979,1,-5.174,1,0.268,0.000143,0.148,0.984,0.435,108.127,3iCM7R8qk87NfcVdEForCi,321147,4
50,0.521,0.941,2,-4.158,1,0.0811,0.000342,0.00245,0.132,0.774,125.3,25QFya8A4IpOyoWUPaFq1m,300893,4
51,0.322,0.935,4,-4.898,1,0.0511,8.75e-05,0.191,0.0868,0.161,110.925,4HMlMmtOZO9yRuj4vdTgxw,293800,4
52,0.273,0.86,2,-5.385,1,0.0846,4.78e-06,0.841,0.0813,0.256,176.689,2kDN0ndI1hvxIkE6YqlKjO,220720,4
