,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.504,0.877,10,-4.83,1,0.0637,0.0102,0.000118,0.255,0.692,165.943,03g7fElHSW3uhrJ09gx6c6,123147,3
1,0.37,0.804,9,-3.968,1,0.0473,0.00761,4.62e-06,0.102,0.545,171.986,08PGrOm3t16PjuW9Llpf0k,164640,4
2,0.475,0.898,11,-3.198,1,0.0495,0.000738,1.54e-05,0.121,0.301,121.926,4TCGOkcuhbFloDRipnTOcW,166387,4
3,0.413,0.938,9,-4.81,0,0.0498,0.000783,5.36e-05,0.283,0.741,168.978,6uwIIySuk1aOqnMpMUPEhP,157427,4
4,0.493,0.861,0,-3.764,1,0.036,0.00423,7.47e-06,0.232,0.376,100.029,6nRTFDBOFC350ls4AR2sMC,192893,4
5,0.545,0.744,7,-6.722,1,0.0321,0.73,0.0,0.364,0.583,111.94,55KjZhaglyd7XUHnuoNSjM,121627,3
6,0.354,0.848,2,-3.874,1,0.0448,0.00382,4.98e-06,0.099,0.521,168.904,4CzI7R8d8GQh8tI9h4kM2z,123600,4
7,0.434,0.895,1,-3.393,0,0.0399,0.000206,0.0,0.578,0.519,102.009,0CsmxXZ0IhXf1udQbDzXe4,143800,4
8,0.569,0.937,4,-3.839,0,0.0584,0.0016,0.0018,0.312,0.623,133.102,6SyxcWratfpHi2l5P6JTP7,94400,4
9,0.264,0.791,2,-4.367,1,0.035,0.0401,5.48e-05,0.139,0.405,153.985,4nGRAmxiJSUT0eGqaGj8aY,222467,4
10,0.483,0.928,4,-4.394,0,0.0403,0.00174,0.000221,0.158,0.227,102.954,60dMMzLt9xuWr8UzNOtroq,127280,4
11,0.411,0.664,0,-4.107,1,0.0318,0.00608,6.72e-05,0.162,0.339,82.02,0HatvSz2GXwzp43LA6oGBb,209640,4
12,0.468,0.972,11,-3.327,1,0.0521,0.00811,0.00103,0.46,0.6,119.647,7b7kOUu2KmSDCy6Ebglidg,215151,4
13,0.386,0.931,1,-3.522,1,0.0431,0.000745,6.74e-05,0.0733,0.495,75.985,0l0aCnlWm9e5C3kcLbaPpr,209748,4
14,0.424,0.913,8,-4.367,1,0.0449,0.0123,0.00902,0.103,0.612,154.357,5Jgv95p8lqbZlGIvjwUbH7,266620,4
15,0.546,0.722,8,-5.243,1,0.0256,0.00266,0.00355,0.0781,0.435,99.064,6xkSYTMLxSlv5yzvzs59GW,233312,4
16,0.454,0.977,3,-4.248,1,0.0686,0.00103,0.00119,0.376,0.765,157.078,5gWPhBK4iz3UeCkFxc02JD,181425,4
17,0.552,0.907,8,-3.944,1,0.036,0.0313,0.00697,0.175,0.782,123.945,750QauIOlhG4OWvhviivev,266748,4
18,0.476,0.954,11,-3.299,1,0.0405,0.000132,0.00807,0.517,0.671,132.973,0RD6YLFbgjA8TiOtqqWYN8,164195,4
19,0.461,0.924,1,-4.066,1,0.0355,0.00318,0.0024,0.0653,0.484,117.983,1d1az3MIWrJvcNrgNMJTYA,244565,4
20,0.488,0.612,8,-5.115,1,0.0296,0.003,0.0372,0.225,0.288,124.942,0NlShBQpT9m8xDzdhJfztc,310421,4
21,0.412,0.961,8,-2.975,1,0.047,0.000161,0.00014,0.205,0.702,133.254,5aLZbXj2vkRKhGvEdnQvsI,184863,4
22,0.42,0.928,11,-3.641,1,0.0594,0.000418,0.0947,0.0768,0.566,142.102,5kofKn8uZVOOapwuOyXpm5,198542,4
23,0.495,0.887,10,-4.376,1,0.0389,0.00335,0.122,0.152,0.459,131.965,5MY5vwpLk82efEMZmqouAq,277027,4
24,0.381,0.954,2,-3.945,1,0.0437,0.0563,0.000835,0.537,0.532,155.103,0BVxioSk5vhG1Bc9gjRewm,246280,4
25,0.453,0.977,1,-4.041,0,0.102,0.00314,0.000494,0.106,0.673,170.058,5zUEOSVdQIrjFNwXRNxdbF,249360,4
26,0.308,0.36,4,-7.79,1,0.0355,0.534,0.032,0.0568,0.0806,80.996,68VASosXTiRTZj3YcrbbOM,149587,4
