,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.68,0.756,10,-7.154,0,0.19,0.0578,0.0,0.349,0.805,170.927,1IY46WkIINigH71KTv7Uv2,231739,4
1,0.519,0.823,10,-5.85,1,0.0827,0.169,0.0,0.129,0.329,82.58,52SUwNCzqElrCJQHxBsq5a,171478,4
2,0.759,0.497,10,-5.068,0,0.145,0.147,0.0,0.147,0.281,87.037,50phXS6hmTMpmQbfds8Bvr,163135,4
3,0.76,0.766,1,-5.537,1,0.061,0.212,0.0001,0.256,0.583,119.012,34xbyF0mABlqub5fj5RkC0,258951,4
4,0.744,0.734,10,-6.989,0,0.294,0.0282,0.0,0.0745,0.907,97.878,5AgROGBWg39Ln0GK3YFSmz,238875,4
5,0.641,0.768,1,-6.351,1,0.0997,0.0247,0.0,0.208,0.501,80.019,4j9O2n3czrw000jY8ouJZ8,240169,4
6,0.72,0.677,5,-4.592,1,0.162,0.205,0.0,0.0966,0.389,174.072,0C1T6YOwB7MMzspV0UbKKA,220517,4
7,0.747,0.865,10,-5.957,0,0.215,0.0541,0.0,0.0979,0.693,150.609,1qblTZmnYTluKZoNha5HXk,229458,4
8,0.611,0.737,5,-6.401,0,0.0381,0.148,0.00193,0.106,0.492,156.024,5U6HACLkmJFWvC75pnxPdw,295359,4
9,0.697,0.645,1,-8.415,1,0.211,0.0624,0.0,0.0795,0.15,81.992,45x4tULmYHSJelP4vRH0Lk,244691,4
10,0.609,0.912,10,-4.917,0,0.344,0.227,0.0,0.359,0.895,86.407,3iVFBmRZtDXdp8tFGpK0Et,283036,4
11,0.648,0.928,4,-4.976,0,0.346,0.103,0.0,0.56,0.526,111.254,3B02odTuOeLFb1OErDwC43,129058,5
12,0.607,0.924,4,-2.3,0,0.167,0.015,0.000396,0.289,0.668,97.059,6i1T2HszgQegmbChKbvshh,246119,4
13,0.546,0.648,9,-6.941,0,0.328,0.109,1.73e-06,0.119,0.572,169.963,69AFoFpPNM7digmbH2Clyf,133901,4
14,0.723,0.665,6,-6.896,0,0.257,0.0553,0.0,0.0987,0.315,120.054,777evZve3OzCbGOVaVAGiU,148608,4
15,0.743,0.633,2,-7.285,1,0.183,0.0137,0.0,0.329,0.409,91.0,1KP448EPO76rDoht7vVA2g,264130,4
16,0.756,0.577,7,-7.127,1,0.0395,0.00277,0.0,0.309,0.685,92.036,5q9Et9kJTWvRg80uQLBW4s,172105,4
17,0.492,0.903,2,-3.984,1,0.0638,0.00166,0.0277,0.0223,0.527,123.924,784Bm0TC42EgmWzTVZqNtK,203226,4
18,0.794,0.845,1,-6.118,1,0.387,0.372,0.0,0.124,0.831,93.939,41hwbZ1yF705MxJ7H9bwEu,174901,4
19,0.62,0.786,9,-5.22,0,0.167,0.143,0.0,0.46,0.679,164.057,24FR8mXTaiGZPrxnkf1kcP,265191,4
20,0.809,0.684,6,-3.578,0,0.273,0.282,1.44e-06,0.241,0.857,85.009,1OmmCrliFMIWzNke437KHE,274060,4
21,0.44,0.968,1,-3.068,0,0.301,0.00534,0.0,0.757,0.503,179.827,1zjSuvvLpPoJwnywiFIX7E,230435,4
22,0.751,0.916,0,-3.917,1,0.256,0.169,0.0,0.366,0.745,89.876,4L6QpiLxCLok9wZfFIdiqF,303931,4
23,0.457,0.909,6,-4.749,0,0.328,0.13,0.0,0.48,0.615,87.412,7e0nXDIIa6hFqI4HmuanLP,333778,4
24,0.769,0.829,0,-5.228,1,0.0661,0.00948,6.65e-05,0.301,0.648,159.943,5jbDih9bLGmI8ycUKkN5XA,100291,4
25,0.754,0.778,10,-2.745,0,0.134,0.365,6.96e-05,0.152,0.95,74.999,0ERnYArznxdTBEIj1VSta8,269232,4
26,0.81,0.708,11,-4.657,1,0.328,0.71,0.0,0.557,0.722,92.272,2Wf2u3sZ8rR1sdiBuSbeR0,294749,4
27,0.552,0.861,4,-4.114,0,0.243,0.125,0.0,0.388,0.56,86.639,7ikkUWdCqtyEGgSPyVxePq,232921,4
28,0.719,0.627,11,-7.973,0,0.35,0.39,0.0,0.0981,0.534,86.001,6RIe8KbX9YMO9hFSuowqII,195322,4
29,0.662,0.918,10,-5.915,0,0.492,0.603,0.0,0.405,0.516,88.833,7oFnyYm3SIqDJCAYAA1oZI,188641,4
30,0.473,0.904,4,-3.958,1,0.225,0.0248,0.0,0.362,0.159,86.828,6KASl3S3bdyrn8GxjlVimb,216000,4
31,0.604,0.789,2,-5.748,0,0.287,0.448,0.0,0.152,0.651,170.339,7JcQlgYb0bewNr7autv7gm,146771,4
32,0.561,0.905,6,-4.606,0,0.274,0.917,0.0174,0.573,0.87,85.258,6K2WirQZkriGBTliRuL7Y7,369363,4
33,0.785,0.825,4,-4.78,1,0.037,0.0133,0.0,0.393,0.966,124.061,2xEyclHzLJU0CwKiQ4DwJ4,177975,4
34,0.835,0.699,8,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,4jVBIpuOiMj1crqd8LoCrJ,202795,4
35,0.615,0.794,2,-5.554,0,0.0655,0.308,6.01e-05,0.277,0.649,95.055,6pOJF93bhb1bTQvOXxE46u,231826,4
36,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,3cbE0k4dUtvDJhyHjjuDPz,258004,4
37,0.507,0.676,6,-5.38,1,0.4,0.108,0.0,0.232,0.314,79.317,6TfT5lKIUo5ZvHldU9iWuk,366413,4
38,0.486,0.765,9,-5.283,0,0.144,0.142,0.0,0.0611,0.28,137.136,1gkOWPEDLZv0Kc6gseXwaa,267360,4
39,0.73,0.5,8,-7.899,1,0.262,0.0324,0.0,0.156,0.599,172.628,4wJfoAiintwsyqvqRqUyp0,174133,4
40,0.869,0.408,6,-8.669,0,0.202,0.0407,0.0,0.101,0.374,99.979,7xTm6W2mTbojyPRn9MsjOE,217693,4
41,0.625,0.347,8,-10.791,0,0.115,0.0547,3.71e-05,0.235,0.312,102.979,0QUJZfhqOlUKp1gqqPHXAK,251960,4
42,0.789,0.77,9,-6.452,1,0.134,0.137,2.42e-05,0.212,0.436,109.958,5zgqjLWYY9laRf5k1tkJDB,270187,4
43,0.616,0.486,1,-10.166,0,0.5,0.504,3.14e-06,0.126,0.396,91.757,23rFwQ1iBzirQDao0Hi9A5,322160,4
44,0.776,0.415,6,-7.408,0,0.0991,0.00416,3e-05,0.0721,0.283,100.003,1NY3olnZE9lU0NRCM2CwRD,227880,4
45,0.651,0.48,6,-9.481,0,0.155,0.422,0.0,0.141,0.483,74.99,3KlvSWOgHANOjnvsxX5UkI,296400,4
46,0.834,0.661,7,-8.377,1,0.348,0.00994,0.0,0.0725,0.579,120.174,6df0bdSOGYU6NHZWlEcHXP,224027,4
47,0.419,0.498,4,-8.86,0,0.371,0.0572,0.0,0.191,0.132,70.383,2gPYEleLxl9yWqV75uO2uo,255853,3
48,0.728,0.556,6,-5.909,1,0.533,0.189,0.0,0.139,0.152,140.643,6UhnXAyiAGLz9spxVPev50,261853,4
49,0.52,0.79,2,-5.392,1,0.527,0.13,3.53e-05,0.112,0.251,164.227,4tfZFYlUYtuXndIRn6yobU,433800,4
50,0.453,0.465,3,-5.811,1,0.231,0.141,0.0,0.382,0.476,77.075,5JzN4JB1wgByf3twEpi0eN,236360,3
51,0.866,0.502,1,-6.941,1,0.299,0.072,0.0,0.116,0.397,122.059,0WavAWbk0XMIGlNBQGyMeH,268253,4
52,0.67,0.705,4,-8.359,0,0.129,0.273,0.000545,0.14,0.502,157.623,6xV1ehAXRFtqHIpPF9Y2Ks,240960,4
53,0.586,0.389,6,-13.049,0,0.352,0.31,0.0,0.148,0.661,79.797,3AvmcWPdAEXcgWg8MFC280,147814,4
54,0.603,0.649,11,-5.887,1,0.117,0.105,0.0,0.712,0.343,128.815,2QeQNF182V61Im0QpjdVta,231827,4
55,0.459,0.623,1,-4.45,1,0.0489,0.352,0.0,0.131,0.205,126.018,2rMFawCg4BW65jzbwztXAV,351253,4
56,0.773,0.595,8,-6.062,0,0.161,0.114,2.47e-06,0.13,0.338,123.968,1SGt65i9AnXYdDQt1AtDRH,461840,4
57,0.689,0.61,10,-9.004,0,0.217,0.0836,0.0,0.36,0.119,134.923,3dtBVBClM5ms0qCBBrqpUb,235680,4
58,0.402,0.526,9,-6.741,0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,51EC3I1nQXpec4gDk0mQyP,339067,4
59,0.629,0.578,1,-4.704,1,0.0428,0.2,0.0,0.151,0.211,79.94,2dJ4rGtsOHOgvTQawsCRtg,307000,4
60,0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,3xby7fOyqmeON8jsnom0AT,321560,4
61,0.554,0.54,1,-5.687,1,0.0905,0.00793,1.05e-06,0.158,0.162,116.877,5H25xsIuRWUI8GwcoAoeSG,166320,4
62,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,1wHZx0LgzFHyeIZkUydNXq,262693,4
63,0.507,0.464,3,-8.531,0,0.171,0.398,2.62e-05,0.603,0.277,147.984,0IabpxMpUV7waD7U4uDIMJ,242507,4
64,0.648,0.631,4,-5.662,0,0.103,0.377,0.0,0.12,0.142,105.989,6Yqmv7XJLCrQEauMbPGZSw,349933,4
65,0.628,0.827,1,-3.139,0,0.04,0.0616,0.0,0.495,0.429,130.016,6HszFW6X5wM8DKX1SO0LaK,208627,4
66,0.696,0.8,2,-5.68,1,0.0324,0.000819,0.0,0.0954,0.0635,110.013,2hiuiI3ac0I5kJWtkeGHEL,235533,4
67,0.655,0.496,3,-4.139,0,0.0364,0.0335,0.0,0.156,0.28,137.945,6scpNkWEmUxmKY7nYjVLsX,219360,4
68,0.53,0.661,8,-5.507,1,0.083,0.141,0.00018,0.123,0.149,122.482,0MRZ9nMoLc7qQ8Nhovv8C8,417693,4
69,0.527,0.521,10,-8.341,0,0.033,0.0114,0.0232,0.167,0.127,99.438,3jg8bevUzKYONDLBBQquif,176160,4
