,dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
0,1606266000,2,350.48,0.59,33.93,10.64,4.59,15.35,17.04,0.44
1,1606269600,2,333.79,0.24,28.45,16.63,4.53,14.85,16.36,0.42
2,1606273200,2,333.79,0.17,27.42,19.49,4.95,15.1,16.48,0.43
3,1606276800,2,333.79,0.14,27.76,21.64,6.91,15.34,16.66,0.73
4,1606280400,2,340.46,0.16,29.13,22.53,6.08,15.48,16.82,0.49
5,1606284000,2,373.84,0.61,37.36,17.35,7.27,16.49,18.02,0.6
6,1606287600,2,413.9,1.72,46.61,10.28,8.7,17.34,19.12,0.81
7,1606291200,2,427.25,3.69,48.67,9.12,9.42,17.12,19.03,0.91
8,1606294800,2,413.9,6.37,42.16,16.63,9.78,16.33,18.32,0.96
9,1606298400,2,373.84,4.92,35.3,26.46,9.54,14.16,16.07,0.98
10,1606302000,2,350.48,3.21,33.59,31.47,9.54,12.32,14.15,1.0
11,1606305600,2,333.79,1.52,33.59,34.69,9.66,10.56,12.26,1.0
12,1606309200,2,343.8,1.38,38.39,32.54,9.66,10.17,11.78,0.94
13,1606312800,2,390.53,2.6,48.67,22.53,10.01,11.44,13.18,0.91
14,1606316400,2,423.91,2.49,57.58,11.98,9.42,12.64,14.5,0.92
15,1606320000,2,440.6,3.74,61.01,4.6,8.82,13.72,15.67,0.94
16,1606323600,2,467.3,7.82,62.38,1.45,8.94,14.85,16.89,0.93
17,1606327200,2,500.68,12.18,63.06,0.49,9.66,16.44,18.6,0.93
18,1606330800,2,520.71,14.08,61.69,0.32,10.13,17.95,20.16,0.9
19,1606334400,2,514.03,12.85,58.95,0.37,9.89,18.76,21.0,0.84
20,1606338000,2,507.36,11.29,56.89,0.49,9.54,19.69,21.94,0.78
21,1606341600,3,480.65,8.27,54.84,0.88,8.35,20.01,22.14,0.67
22,1606345200,2,433.92,3.41,49.35,2.91,5.9,19.18,21.02,0.49
23,1606348800,2,390.53,1.12,42.5,6.97,4.47,18.4,19.98,0.38
24,1606352400,2,373.84,0.61,37.7,9.92,3.93,18.23,19.65,0.34
25,1606356000,2,367.17,0.45,34.62,11.8,3.79,18.31,19.63,0.32
26,1606359600,2,360.49,0.36,32.22,13.77,3.82,18.63,19.9,0.31
27,1606363200,2,353.81,0.28,29.82,15.91,3.93,19.61,20.86,0.31
28,1606366800,3,353.81,0.3,29.13,17.35,4.41,21.35,22.64,0.34
29,1606370400,3,387.19,0.98,35.64,13.05,6.32,24.3,25.76,0.49
30,1606374000,4,423.91,2.1,43.87,8.23,8.23,27.23,28.93,0.61
31,1606377600,4,440.6,2.54,47.98,6.62,9.06,28.77,30.63,0.63
32,1606381200,4,420.57,1.51,43.87,11.09,9.06,28.85,30.75,0.57
33,1606384800,4,380.52,0.55,34.27,21.1,8.11,27.58,29.35,0.48
34,1606388400,4,357.15,0.33,29.13,26.82,7.45,26.33,28.0,0.48
35,1606392000,3,343.8,0.21,26.39,28.97,6.91,24.51,26.11,0.51
36,1606395600,3,330.45,0.22,23.99,31.11,6.38,22.18,23.54,0.48
37,1606399200,3,320.44,0.15,23.31,31.11,6.02,20.7,21.92,0.52
38,1606402800,2,317.1,0.08,23.65,30.04,5.72,19.58,20.76,0.56
39,1606406400,2,320.44,0.12,25.36,27.18,5.54,18.96,20.13,0.58
40,1606410000,2,333.79,0.28,29.13,20.92,5.78,18.85,20.05,0.59
41,1606413600,2,350.48,0.66,32.56,14.66,6.38,19.66,21.01,0.55
42,1606417200,3,377.18,1.87,35.99,7.51,7.27,21.11,22.95,0.6
43,1606420800,3,400.54,4.64,37.01,2.17,7.63,22.52,24.95,0.65
44,1606424400,3,413.9,8.16,34.96,0.54,7.51,23.32,26.26,0.69
45,1606428000,3,427.25,12.18,32.56,0.1,7.03,23.76,26.89,0.7
46,1606431600,3,417.23,13.19,29.82,0.03,5.42,23.24,26.09,0.6
47,1606435200,3,400.54,12.29,27.08,0.02,4.53,22.34,24.83,0.56
48,1606438800,3,383.85,11.29,24.68,0.03,4.29,21.7,23.88,0.54
49,1606442400,3,370.5,9.72,23.65,0.06,4.29,21.04,22.96,0.5
50,1606446000,3,357.15,7.82,22.96,0.14,4.47,20.31,22.17,0.47
51,1606449600,2,343.8,5.98,22.62,0.26,4.77,19.36,21.22,0.44
52,1606453200,2,347.14,7.71,21.94,0.13,5.42,19.05,20.83,0.5
53,1606456800,3,397.21,17.21,22.62,0.02,8.11,20.72,22.58,0.79
54,1606460400,3,473.98,32.19,24.33,0.0,11.33,23.66,25.76,1.16
55,1606464000,4,520.71,41.13,25.71,0.01,13.11,25.5,27.86,1.33
56,1606467600,4,534.06,43.36,26.73,0.04,13.95,25.74,28.35,1.39
57,1606471200,3,500.68,32.63,32.9,0.23,14.9,22.8,25.53,1.22
58,1606474800,2,453.95,23.25,38.39,0.61,15.14,19.97,22.94,1.14
59,1606478400,2,413.9,17.66,36.67,1.03,13.47,17.38,20.54,1.14
60,1606482000,2,360.49,10.62,32.9,2.35,10.49,13.9,17.11,1.05
61,1606485600,2,327.11,6.04,31.53,2.84,8.82,11.48,14.62,1.0
62,1606489200,2,317.1,3.52,32.22,3.62,8.11,10.38,13.36,1.0
63,1606492800,2,320.44,3.91,31.87,3.17,7.33,10.21,13.12,1.12
64,1606496400,2,337.12,7.38,31.19,1.19,6.97,10.98,13.91,1.25
65,1606500000,2,363.83,10.28,31.19,0.62,7.39,11.75,14.53,1.31
66,1606503600,2,370.5,9.16,31.87,0.96,7.57,11.61,14.13,1.3
67,1606507200,2,350.48,4.64,32.22,3.22,7.03,10.28,12.52,1.2
68,1606510800,1,330.45,1.77,29.13,8.14,6.56,9.01,11.06,1.14
69,1606514400,1,290.39,0.22,22.62,24.32,5.48,7.06,8.66,0.94
70,1606518000,1,257.02,0.02,14.91,39.34,3.99,5.25,6.49,0.76
71,1606521600,1,233.65,0.0,9.43,50.78,2.74,3.96,4.93,0.67
72,1606525200,1,223.64,0.0,6.77,59.37,2.12,3.05,3.82,0.61
73,1606528800,1,223.64,0.0,6.26,64.37,2.15,2.61,3.28,0.59
74,1606532400,1,223.64,0.0,6.51,65.8,2.47,2.69,3.31,0.55
75,1606536000,1,223.64,0.0,6.94,62.94,2.86,3.26,3.89,0.5
76,1606539600,1,226.97,0.0,8.05,58.65,3.4,4.29,5.06,0.42
77,1606543200,1,243.66,0.01,12.51,50.07,4.53,6.22,7.29,0.34
78,1606546800,1,260.35,0.03,16.45,42.2,5.31,8.4,9.72,0.21
79,1606550400,1,260.35,0.06,16.79,39.7,5.36,8.91,10.23,0.14
80,1606554000,1,253.68,0.26,14.22,42.2,5.01,7.84,8.99,0.16
81,1606557600,1,243.66,0.36,11.48,48.64,4.47,5.65,6.52,0.27
82,1606561200,1,240.33,0.28,10.71,53.64,4.35,4.31,5.04,0.4
83,1606564800,1,240.33,0.17,10.8,54.36,4.41,3.6,4.26,0.52
84,1606568400,1,290.39,0.78,23.99,37.91,5.84,4.74,5.65,0.89
85,1606572000,2,377.18,4.25,43.87,13.41,8.35,7.69,9.14,1.41
86,1606575600,2,447.27,11.96,53.47,1.65,11.68,10.35,12.34,2.31
87,1606579200,2,480.65,20.12,50.72,0.14,12.52,11.5,13.91,2.91
88,1606582800,2,460.63,19.67,46.61,0.17,8.7,10.66,13.2,1.95
89,1606586400,2,413.9,11.85,42.5,0.87,6.38,8.74,11.16,1.16
90,1606590000,1,373.84,6.26,36.33,1.9,5.19,6.99,9.23,0.85
91,1606593600,1,373.84,7.82,30.85,1.19,4.89,6.8,8.95,0.8
92,1606597200,1,370.5,7.82,27.76,1.24,4.59,6.46,8.38,0.83
93,1606600800,1,370.5,8.05,26.73,1.11,4.17,6.23,7.78,0.83
94,1606604400,1,347.14,6.31,24.68,1.3,2.92,5.3,6.44,0.78
95,1606608000,1,323.77,4.41,22.28,1.99,3.82,4.65,5.54,1.62
96,1606611600,1,310.42,3.38,20.56,2.71,3.28,4.37,5.14,1.33
97,1606615200,1,297.07,2.04,18.85,4.51,2.09,3.91,4.72,0.59
98,1606618800,1,283.72,0.81,16.11,9.21,1.82,3.39,4.22,0.5
99,1606622400,1,263.69,0.14,11.48,19.13,1.68,2.87,3.67,0.46
100,1606626000,1,260.35,0.12,10.97,22.89,1.86,2.8,3.63,0.45
101,1606629600,1,280.38,0.33,15.59,20.03,2.83,3.42,4.31,0.52
102,1606633200,1,297.07,0.64,20.39,16.27,3.55,3.87,4.81,0.6
103,1606636800,1,297.07,0.66,20.91,16.81,3.64,3.61,4.74,0.62
104,1606640400,1,280.38,0.58,17.31,23.96,3.37,2.86,4.04,0.59
105,1606644000,1,257.02,0.3,11.82,37.55,2.86,1.85,2.83,0.52
106,1606647600,1,243.66,0.27,9.6,42.92,2.65,1.31,2.21,0.53
107,1606651200,1,233.65,0.2,8.31,46.49,2.41,1.03,1.85,0.55
108,1606654800,1,226.97,0.13,7.54,51.5,2.21,0.9,1.56,0.53
109,1606658400,1,233.65,0.1,8.82,49.35,2.41,1.0,1.7,0.62
110,1606662000,1,236.99,0.02,9.77,48.64,2.44,1.07,1.8,0.67
111,1606665600,1,240.33,0.01,10.63,47.92,2.33,1.15,1.89,0.67
112,1606669200,1,247.0,0.02,12.51,45.42,2.44,1.35,2.14,0.65
113,1606672800,1,257.02,0.04,14.57,40.77,2.8,1.69,2.57,0.61
114,1606676400,1,263.69,0.06,15.77,36.84,3.04,2.09,3.06,0.59
115,1606680000,1,267.03,0.07,15.77,34.33,3.04,2.47,3.48,0.59
116,1606683600,1,267.03,0.1,16.11,30.76,3.13,3.35,4.37,0.58
117,1606687200,1,263.69,0.1,15.94,28.97,2.89,4.21,5.18,0.49
118,1606690800,1,250.34,0.03,12.34,34.33,2.15,3.93,4.73,0.4
119,1606694400,1,247.0,0.02,10.28,41.49,2.15,3.42,4.11,0.4
120,1606698000,1,247.0,0.01,9.77,45.06,2.3,3.21,3.88,0.41
121,1606701600,1,250.34,0.01,10.71,44.35,2.44,3.34,4.06,0.42
122,1606705200,1,257.02,0.02,12.34,41.49,3.46,3.77,4.56,0.68
123,1606708800,1,263.69,0.03,14.22,37.19,4.71,4.28,5.21,1.03
124,1606712400,1,273.71,0.08,17.82,31.47,4.41,5.02,6.19,0.72
125,1606716000,1,320.44,0.7,29.47,18.24,6.32,7.23,9.06,0.84
126,1606719600,2,380.52,3.41,41.81,6.08,8.94,10.14,12.93,1.05
127,1606723200,2,403.88,5.42,45.24,3.0,10.37,11.84,15.44,1.06
128,1606726800,2,377.18,3.74,40.1,8.76,10.37,11.31,15.06,0.92
129,1606730400,1,300.41,0.78,22.96,33.62,7.87,7.03,9.39,0.56
130,1606734000,1,270.37,0.48,16.45,45.06,7.03,4.98,6.78,0.49
131,1606737600,1,260.35,0.38,14.57,47.92,6.56,4.38,6.02,0.48
132,1606741200,1,267.03,0.51,16.79,44.35,6.91,5.12,6.53,0.6
133,1606744800,1,300.41,0.82,25.02,30.76,8.7,7.59,8.81,0.86
134,1606748400,2,340.46,0.76,35.3,16.81,9.66,10.06,11.25,1.06
135,1606752000,2,363.83,1.36,42.16,9.84,9.89,10.36,11.72,1.12
136,1606755600,2,377.18,2.32,45.93,6.53,9.78,9.3,10.81,1.03
137,1606759200,2,393.87,4.02,47.3,3.53,9.89,10.02,11.64,0.99
138,1606762800,2,410.56,5.7,47.3,1.88,9.78,12.08,13.87,0.98
139,1606766400,2,400.54,4.36,45.24,2.82,9.42,12.42,14.25,0.93
140,1606770000,2,380.52,2.07,42.84,6.8,8.94,11.47,13.23,0.9
141,1606773600,1,350.48,0.55,37.01,15.56,8.11,9.95,11.52,0.9
142,1606777200,1,313.76,0.1,28.79,24.68,6.56,8.56,9.87,0.94
143,1606780800,1,297.07,0.05,23.99,28.61,5.84,8.07,9.21,1.09
144,1606784400,1,293.73,0.04,22.28,30.04,5.78,8.65,9.68,1.28
145,1606788000,1,293.73,0.03,21.42,31.11,5.84,9.53,10.46,1.31
146,1606791600,2,293.73,0.03,20.56,33.26,5.9,10.14,10.98,1.2
147,1606795200,2,293.73,0.02,20.05,35.41,6.02,10.16,10.94,1.03
148,1606798800,1,300.41,0.03,21.25,36.48,6.5,9.99,10.79,0.89
149,1606802400,2,330.45,0.13,29.13,30.76,8.11,10.89,11.83,0.9
150,1606806000,2,370.5,0.38,38.04,22.89,9.66,12.5,13.64,0.99
151,1606809600,2,383.85,0.76,40.44,19.85,10.25,13.71,15.02,1.06
152,1606813200,2,380.52,2.77,36.33,23.6,10.49,14.26,15.63,1.08
153,1606816800,2,360.49,3.69,30.5,29.68,9.78,13.76,15.01,1.06
154,1606820400,2,343.8,3.05,27.08,33.98,9.18,12.59,13.7,1.11
155,1606824000,2,330.45,1.96,25.02,36.48,8.58,11.18,12.17,1.19
