,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,year
0,0.378,0.566,9,-7.685,0,0.0482,0.149,0.0,0.382,0.196,87.691,7sBwAWyXfiIgrYQ8BaJESH,328907,3,4,2016
1,0.68,0.712,10,-7.184,1,0.0453,0.000803,0.000612,0.237,0.0379,100.009,1C7KSXR2GVxknex6I4ANco,255787,4,4,2016
2,0.429,0.43,2,-11.373,1,0.165,0.338,1.18e-05,0.138,0.125,174.983,03L2AoiRbWhvt7BDMx1jUB,297373,4,4,2016
3,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818,3cjF2OFRmip8spwZYQRKxP,240653,4,4,2016
4,0.787,0.635,4,-8.271,0,0.155,0.0253,0.0,0.357,0.237,130.018,5NFYuqu8V6QXc6mzcLImd6,209413,4,4,2016
5,0.623,0.74,1,-6.942,1,0.307,0.0635,0.0,0.366,0.35,82.877,4PA16FAl8LPmFmOhARawdV,253533,4,4,2016
6,0.694,0.314,0,-7.82,1,0.116,0.611,2.07e-06,0.117,0.341,119.905,4cRBqWBjuccCowYVHFlXK6,333947,4,4,2016
7,0.878,0.406,1,-9.961,1,0.248,0.134,0.000234,0.112,0.784,128.014,3aJkV6DUTSCqOwVwaBDG9B,195053,4,4,2016
8,0.536,0.449,1,-10.499,1,0.103,0.11,1.49e-05,0.284,0.171,99.889,2qLcJOLrh6Djda4uLbldSA,290133,4,4,2016
9,0.834,0.433,0,-9.607,1,0.174,0.0258,0.0,0.633,0.229,133.938,433P7tDcIAi6NLnf4Sh6tI,189853,3,4,2016
10,0.59,0.468,10,-11.083,0,0.185,0.0789,0.0,0.101,0.349,92.287,3O8NlPh2LByMU9lSRSHedm,245227,4,4,2016
11,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,1zi7xx7UVEFkmKfv06H8x0,173987,4,4,2016
12,0.676,0.432,1,-9.51,1,0.502,0.00163,3.84e-06,0.0799,0.12,145.869,5e574bhjycX1eH2l4Auage,220427,4,4,2016
13,0.746,0.475,10,-11.243,0,0.113,0.0175,1.1e-05,0.197,0.292,80.006,3NxAG2ni1lLa8RKL6a0INc,241400,4,4,2016
14,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,5mPSyjLatqB00IkPqRlbTE,212947,4,4,2016
15,0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.1,0.397,117.996,3BtuIIrQlkujKPuWF2B85z,263373,4,4,2016
16,0.699,0.255,4,-8.647,0,0.0303,0.405,0.00242,0.0985,0.242,132.031,3ppVO2tyWRRznNmONvt7Se,106333,3,4,2016
17,0.722,0.252,1,-14.411,0,0.0761,0.0671,0.0,0.0852,0.275,79.923,4BhGTc3Cgay2U1QcTS7vQe,238120,4,4,2016
18,0.395,0.852,5,-5.896,1,0.37,0.0657,0.0,0.262,0.112,76.428,7MjSipTto9QljYzZnloXOn,311960,4,4,2016
19,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,0wwPcA6wtMf6HUMpIRdeP7,267067,4,4,2016
20,0.552,0.153,1,-11.484,1,0.0446,0.961,0.000169,0.0979,0.324,114.094,4kvtTeARye5N1uVEatAyMO,231573,4,4,2021
21,0.748,0.3,10,-9.117,1,0.069,0.917,0.00177,0.0969,0.552,147.92,2fWqSdxPUvyRqhVWFoAh90,186707,4,4,2021
22,0.636,0.281,4,-9.51,1,0.126,0.928,2.98e-06,0.0986,0.574,104.4,5Ydns4nO6wAI5Lt6o9Ngxo,165632,4,4,2021
23,0.648,0.259,0,-8.883,1,0.0384,0.853,0.0,0.0981,0.327,120.94,5TzisjdKWNCJC3FuwbKsjg,228673,4,4,2021
24,0.616,0.147,8,-14.41,1,0.0375,0.813,0.0,0.0979,0.3,139.484,57Fuayo10umQQX4Rxn9jvA,221587,4,4,2021
25,0.542,0.303,8,-8.47,1,0.0328,0.771,0.0,0.119,0.27,157.818,4R6Nr3xQiNnphLCPb5Dyhd,185550,4,4,2021
26,0.695,0.731,10,-7.114,1,0.199,0.0606,0.0,0.317,0.556,126.066,5tmHc2HW2xaMkUmI4s15nC,166667,4,4,2021
27,0.265,0.929,2,-3.843,1,0.0486,0.00199,0.0,0.234,0.608,72.707,0BvovUjRDfBvC0bwe0pNnU,219813,4,4,2020
28,0.522,0.474,6,-7.542,1,0.0478,0.236,6.99e-05,0.0993,0.101,65.72,22IGB30RY5T1YhshQJPH7e,214440,4,4,2020
29,0.602,0.455,4,-9.319,0,0.0407,0.604,2.08e-06,0.0735,0.152,77.571,3QanoftWqAifldurYTfRP3,212253,4,4,2020
30,0.61,0.612,7,-7.72,0,0.0502,0.00393,1.2e-05,0.0779,0.297,126.195,0qUPgNfVwz0JLQJUsfcqXV,186920,4,4,2020
31,0.674,0.633,1,-5.774,1,0.0449,0.00445,0.0,0.0711,0.571,119.967,3B79I1HRHySOUsVU5STELN,191213,4,4,2020
32,0.5,0.599,10,-7.72,1,0.0471,0.224,5.86e-06,0.0989,0.168,149.993,4zJubtjFPx3GbPQwJLcLZx,257133,4,4,2020
33,0.457,0.621,10,-5.923,1,0.138,0.218,0.0,0.0944,0.634,85.359,5QZKcQDp0tCcvMdyqEciBV,224638,3,4,2020
34,0.6,0.207,10,-8.617,1,0.0389,0.908,0.0,0.0954,0.301,110.834,6NEdt9OryZ10nbRYpiqioN,165347,4,4,2021
35,0.735,0.689,7,-5.41,0,0.0513,0.00381,0.00146,0.409,0.71,116.94,5bPsRW5aoUmqgsR8jadWnc,156168,4,4,2021
36,0.534,0.65,8,-6.298,1,0.171,0.206,2.47e-06,0.0722,0.734,107.009,4nPlcbF1bvZJAYLuaM0Lu0,178075,4,4,2020
37,0.51,0.697,4,-5.128,0,0.0543,0.0326,9.05e-06,0.113,0.515,122.774,6WSkgEE44Z1OSnRBFiFNV2,188571,4,4,2020
38,0.871,0.815,4,-4.439,1,0.0477,0.127,6.18e-06,0.094,0.823,122.959,0IqCoZ168iRc9LqfrYgpZy,176575,4,4,2021
39,0.722,0.936,6,-4.404,1,0.178,0.00104,0.0764,0.304,0.118,127.95,6HeKrqik6GxcbdKsk7FRnt,215625,4,4,2021
40,0.615,0.965,7,-5.967,0,0.0615,0.000625,0.194,0.0954,0.133,128.038,10IWiPjcInaLTvKKrrhXxc,176250,4,4,2020
41,0.709,0.66,4,-5.387,1,0.0753,0.133,0.0,0.131,0.476,82.972,6MLA3OD1vBqdZPPJqKls8Q,146375,4,4,2020
42,0.584,0.547,7,-8.502,0,0.382,0.655,1.64e-06,0.134,0.56,83.917,3oOREk4EQiziBumyvPJx5p,160000,4,4,2021
43,0.291,0.296,9,-14.995,1,0.0328,0.613,0.0572,0.108,0.0387,138.255,72StImpp18scarSVgnZ6Ie,254093,4,4,2021
44,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,2xEy2Z8DY2Tl8ARKKKWZsP,239836,4,4,2021
45,0.576,0.766,10,-4.943,0,0.449,0.0278,1.71e-06,0.366,0.236,144.836,7ivAM9VQhCNKWqtO78Znz8,246761,4,4,2021
46,0.789,0.72,8,-5.652,0,0.217,0.223,0.0,0.129,0.664,122.031,44e8FdWwwkQwNmGcEhpGH3,166794,4,4,2021
47,0.874,0.497,6,-5.484,1,0.0562,0.22,0.0,0.0761,0.542,106.025,3XEQfEa0yTwJw6St23joQx,204502,4,4,2021
48,0.69,0.377,7,-13.609,0,0.11,0.39,0.917,0.131,0.0391,165.051,77XjgUZr97a2c3vH8mrcyY,105126,5,4,2021
49,0.832,0.549,1,-8.259,0,0.0602,0.168,0.0,0.11,0.384,140.045,3UPlsXbx5CM8jV8OD8qrQe,181496,4,4,2021
50,0.842,0.222,4,-16.292,1,0.0911,0.92,0.967,0.15,0.797,164.085,0bf2jADtGLwZIo6SIcNBlz,132891,4,4,2021
51,0.853,0.166,7,-16.23,1,0.178,0.909,0.948,0.0677,0.442,140.043,5EiVCNqwPZ5oCT216XZhSR,118606,4,4,2021
52,0.677,0.744,10,-6.806,0,0.0296,0.0405,0.000153,0.074,0.631,124.077,1iukebvkwAYDmaFCBNfXDz,152913,4,4,2021
53,0.597,0.527,10,-8.658,0,0.0412,0.127,0.0,0.14,0.535,123.946,1cc841nTsgfXRkAit7hebN,168387,4,4,2021
54,0.677,0.714,11,-5.637,1,0.0287,0.158,0.0,0.0717,0.354,94.958,2nVua38TDO3eHa0jYZkA2n,136568,4,4,2021
55,0.77,0.786,11,-3.909,1,0.368,0.189,0.0,0.129,0.837,126.764,7CIGC0ItIpwaJCuW5BIS9E,159715,4,4,2021
56,0.69,0.164,11,-19.241,0,0.0397,0.824,0.922,0.118,0.126,140.038,504RJ7UsxKWs3AxL4sIrvz,125657,4,4,2021
57,0.743,0.735,8,-5.337,1,0.0382,0.00389,0.0,0.304,0.631,104.979,60lU0SjKqcdOXCkVrFPOH5,189467,4,4,2021
58,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,2Y8odJTUfTIctdywdfwr4X,188344,1,4,2021
59,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,5ozNzIcIjEDg2q1Qg7GpKh,214290,4,4,2021
60,0.824,0.733,1,-5.474,1,0.0614,0.0362,0.0,0.325,0.395,97.971,6bwqBWzV9j6wzf5f0pORwp,284387,4,4,2021
61,0.538,0.0465,0,-13.602,1,0.0595,0.936,0.928,0.091,0.162,119.653,2bZKcF77WSymidnfZW7Htw,125609,4,4,2021
62,0.677,0.506,9,-6.652,0,0.0964,0.345,0.0,0.118,0.497,145.843,6QTiqn5J8FUD4wwM2Zi6pI,208520,4,4,2021
63,0.391,0.864,4,-2.841,0,0.0731,0.00409,0.0,0.1,0.523,176.016,7x6c1mXzvRL8phTMt7aBx8,228760,4,4,2021
