danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.484,0.416,9,-9.729,1,0.061,0.83,0.332,0.254,0.549,89.315,4RpFYeMTGyFrUqf07C7fXp,266027,4
0.548,0.591,5,-8.165,1,0.0353,0.223,0.0,0.108,0.813,100.822,7BybDOZbUlR6kTbOtRHaBK,219867,3
0.632,0.137,9,-16.41,1,0.0452,0.904,0.903,0.113,0.379,72.438,1RywExqm4fez3kBEDmvFcM,124080,4
0.379,0.404,1,-11.152,0,0.0441,0.144,0.747,0.163,0.553,82.101,4P98mQxtCYOpbSNdNXQwtB,314947,4
0.358,0.513,0,-9.938,1,0.0318,0.706,0.00106,0.138,0.455,64.193,5aDLq6zTEHcw6SPQnf80jO,250053,3
0.361,0.676,7,-9.043,1,0.0464,0.42,0.697,0.112,0.78,96.645,0oTGtp0ZRdcBKofVQUnSEi,255027,4
0.196,0.459,5,-14.728,0,0.142,0.951,0.000126,0.641,0.13,70.781,0HUyUN9cdERLsQ1D3LwrE5,505960,3
0.464,0.327,2,-9.954,1,0.0372,0.657,0.619,0.142,0.259,89.423,7xRyJ7kO40fDk4Dgwuu0zo,342267,4
0.387,0.416,9,-10.901,1,0.0462,0.477,2.61e-05,0.143,0.605,89.684,7d9BcUAx0F9fKXg2iZJYVU,265787,4
0.525,0.449,5,-8.886,1,0.0302,0.26,0.0,0.251,0.761,101.158,1N1C3fOohsdKRb6UMpD5OA,212413,4
0.577,0.12,9,-16.916,1,0.0523,0.852,0.163,0.11,0.335,72.635,1l72r3h4iRB1Gf4Pq3u8nX,118493,4
0.368,0.553,4,-10.426,1,0.0343,0.0601,0.269,0.113,0.678,171.799,5jVLAlEY6JY99KG2NQL6JR,281853,4
0.356,0.316,0,-14.417,1,0.0308,0.594,9.04e-05,0.133,0.271,66.739,49D5IWM4cYshDpsyb0DZZp,241747,4
0.432,0.633,7,-9.581,1,0.0411,0.092,0.0018,0.298,0.749,97.745,69884vFLfBAZms1erUwz7b,220480,4
0.176,0.173,5,-20.568,0,0.0488,0.974,4.13e-05,0.154,0.0371,84.163,2JbkyPpW72G7H9c5kW3xIs,491787,4
0.363,0.356,2,-12.535,1,0.0295,0.396,0.00895,0.221,0.355,90.569,3WOL4Iwd6974RJjUEosWMI,329973,4
0.43,0.418,2,-15.904,1,0.0593,0.671,0.769,0.0861,0.528,124.998,647A0nKoT6gsfaVkhKF8As,839133,3
0.576,0.374,5,-11.261,1,0.0456,0.939,0.0578,0.213,0.616,97.045,1Id9dUE1GJLj07MltQArFR,281253,4
0.505,0.491,4,-10.538,1,0.0325,0.93,0.787,0.107,0.577,100.086,0Y7IN7CgPcdTR9UCGVZAHo,342160,4
0.471,0.758,5,-9.133,1,0.0691,0.767,0.648,0.112,0.646,121.021,15zB9CRgmG7oA0ZRDrK4NV,548920,4
0.361,0.828,9,-6.465,1,0.0688,0.447,0.227,0.632,0.391,139.166,7eBthjjbTlDUpiA9hVoekU,431467,4
