danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,133LuP4EvaipmM1OxSZgJg,196213,4
0.534,0.777,0,-5.834,1,0.188,0.327,0.00229,0.161,0.778,213.783,5XNFJnfYyUWs3zE8mpQW2Q,169267,4
0.739,0.93,5,-6.561,1,0.103,0.0666,1.08e-06,0.52,0.68,107.348,3WmnJKwO3dMLwUNzL7L0RZ,185600,4
0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,6bCaKIsHgbqyK0QHJV1UNk,231093,4
0.394,0.746,5,-4.494,0,0.0337,0.23,0.0,0.293,0.609,117.712,6PVnI12idw2Eumdw83qPhK,218640,4
0.493,0.653,0,-13.119,1,0.0486,0.0324,7.76e-06,0.232,0.652,120.709,04ye9Zw0MuBS078MVLbAHj,276199,4
0.741,0.92,5,-4.457,1,0.0516,0.182,0.122,0.0903,0.739,110.141,07exH5S1GALOnFsq6bSqkm,325267,4
0.637,0.745,8,-8.607,1,0.0748,0.0173,0.000554,0.0372,0.859,100.384,2M83MQnIRrPPNwMGFqUzGj,244827,4
0.765,0.875,4,-4.945,1,0.0426,0.155,6.38e-05,0.131,0.852,128.377,3DTZG4SJZ7gFDsjphl2req,268440,4
0.614,0.724,7,-7.521,1,0.0247,0.217,0.000256,0.146,0.902,97.863,21nmnm6zbczoK9v5xGHhHV,285373,4
0.441,0.735,2,-5.409,1,0.0366,9.04e-05,0.000149,0.22,0.766,118.38,34dTcZBylBVXVGPKGngcGP,235147,4
0.7,0.726,2,-7.717,1,0.0329,0.436,1.11e-06,0.0914,0.64,130.11,6JFHojZwg1RIhCssCx5VE9,243267,4
0.612,0.886,5,-9.77,0,0.0342,0.0401,0.297,0.122,0.961,131.517,74C6ixOeLqwEW3lA4kx5hD,394307,4
0.673,0.792,7,-10.94,0,0.0426,0.0642,0.623,0.0771,0.964,125.718,1muo618G1apWqXNeuoOJbv,225213,4
0.669,0.52,8,-10.136,1,0.0345,0.245,0.0053,0.126,0.634,104.812,2rxDnKCh9uQ5hyvtLNgUjM,224027,4
0.564,0.926,7,-4.83,1,0.14,0.213,1.89e-06,0.0741,0.499,114.386,7xl3YLJ8HuDAB9oggTbn49,291789,4
0.708,0.773,2,-6.359,1,0.0551,0.686,6.55e-06,0.083,0.66,124.351,3pWuyJiEhO4auFmUqs5bLP,216373,4
0.705,0.655,2,-5.985,0,0.0281,0.029,0.00405,0.319,0.694,119.373,67U207dNsbiNklj0bl7qz6,289160,4
0.863,0.726,9,-6.649,1,0.0494,0.415,0.0302,0.0735,0.93,132.574,5lyzlHvbmMFsBcUAfvzaeY,346133,4
0.823,0.744,0,-13.98,1,0.0316,0.0055,0.033,0.0707,0.966,120.471,0GEv3yTG4HZDM16jYMNbwF,314760,4
0.528,0.897,11,-4.289,1,0.0628,0.0898,0.0,0.487,0.758,109.491,2cDZ4AcjPiIkJ5ngQjV9M4,177600,4
0.798,0.872,11,-5.859,0,0.0378,0.367,0.000818,0.0787,0.921,120.759,7eppcLqZBFa2aVq2Fbe0d4,381387,4
0.611,0.907,1,-6.992,1,0.0827,0.0013,0.0811,0.125,0.828,127.884,2Eeg6PiodkhOCt3dqlKpv4,272893,4
0.776,0.865,7,-8.018,0,0.151,0.0407,0.0,0.0482,0.927,144.339,7Lz8xZW0NYmc3QEoqoSAYi,168440,4
0.589,0.711,0,-11.712,1,0.0511,0.00177,0.0125,0.128,0.889,117.159,4RDFSmn82yS9IJHE4aDPpb,415333,4
0.609,0.695,10,-8.641,1,0.0309,0.04,5.08e-05,0.343,0.634,123.349,7kweSxO1HwjCAj6sD5IPWY,274520,4
0.622,0.816,2,-7.521,1,0.0297,0.166,7.37e-06,0.275,0.969,128.213,40dKR6g1ubxgcprUDxh7FI,218667,4
0.724,0.725,4,-6.92,1,0.0323,0.00102,0.0645,0.0889,0.42,114.725,6TcoYklweaYUviLblw51gx,250440,4
0.7,0.585,9,-11.658,1,0.075,0.00544,0.00127,0.124,0.427,113.567,5uzh7eoP4eIqnWgGKoMKVR,314960,4
0.739,0.566,11,-13.534,1,0.0335,0.384,3.07e-06,0.0735,0.739,114.049,1OIBId61dY05hxUvng0Hlr,325173,4
0.741,0.697,0,-7.03,1,0.0277,0.0665,2.35e-05,0.133,0.774,116.109,4gOP8M1lEqQeByOMsgC9nL,160133,4
0.571,0.701,2,-6.74,1,0.0283,0.614,0.00135,0.0916,0.76,130.02,2AVFHw9466EBN9lHEtTy72,220853,4
0.459,0.89,1,-3.246,1,0.0487,0.451,0.11,0.306,0.447,115.654,7GfsBhBAxNhL8V1gwlJXKx,423680,4
0.621,0.788,4,-4.326,1,0.0314,0.354,0.0,0.305,0.926,129.619,4YgxSc89WQHxpcGCiuU28O,205493,4
0.801,0.545,2,-13.637,1,0.0357,0.709,0.00176,0.104,0.862,124.941,3Vw4tXJRbLTWKDPkZycyNm,250933,4
0.625,0.759,5,-6.213,0,0.0464,0.512,0.00022,0.153,0.695,119.717,688U1NZF0kOQ0ayt2MISEC,251253,4
0.558,0.711,0,-8.171,1,0.0419,0.00851,0.00045,0.17,0.869,147.265,0R9Bb3vxCss5l9QMmpL63K,292413,4
0.541,0.36,2,-12.249,1,0.0246,0.293,0.395,0.0651,0.485,94.639,5uNGSrOi3aD8dZumwPgtwg,298893,4
0.824,0.738,0,-7.198,1,0.0606,0.242,1.36e-06,0.0866,0.953,139.344,1cuZwxU5tjg9yZP6szHaB0,275293,4
0.835,0.522,2,-10.829,0,0.0916,0.0989,0.00184,0.111,0.91,123.934,0uQDtlgowQD97k9EwkhIMg,338133,4
0.733,0.767,5,-6.967,1,0.0546,0.184,2.11e-05,0.0986,0.787,111.936,7gTgFQrThKRirpcULqggdH,267160,4
0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,7GXuIAFRUtcqFAz4BlaKkD,204600,4
0.854,0.574,7,-8.618,1,0.0473,0.106,5.5e-06,0.0439,0.968,111.542,53Ce7LyURSwQTgVrxC0Oj8,291280,4
0.671,0.693,8,-7.699,1,0.0373,0.137,0.00187,0.0467,0.906,125.637,6nL2tYqPDVAVMmggk2kauI,170107,4
0.677,0.918,11,-5.526,0,0.0418,0.0858,2.49e-06,0.0621,0.967,116.419,6fAqhYQWorA0Ug5zbnEBK5,229640,4
0.583,0.793,10,-7.758,1,0.045,0.0445,0.144,0.451,0.479,113.494,0hYoM38K5RhltoeWiE3BqQ,277493,3
0.603,0.49,1,-8.031,1,0.0302,0.535,0.0,0.149,0.396,129.483,1dPlKLJHNetQdrdqcOufKO,203587,4
0.767,0.791,4,-5.138,1,0.102,0.589,0.0564,0.219,0.894,130.286,5JZMy5catIo2XcsOJpTmSo,126373,4
0.737,0.892,9,-5.532,1,0.0462,0.114,2.56e-05,0.0623,0.895,106.019,4UcfLW1uuuT65su3e5PXR3,345000,4
0.593,0.89,1,-5.125,1,0.144,0.0536,0.0,0.0856,0.822,109.501,09HF4a5aEz9z9wXBB3zsHP,204867,4
0.515,0.783,7,-7.488,1,0.0608,0.00712,9.95e-06,0.95,0.365,122.019,1UHIxScBvmK3riBnKHPY4c,396173,4
0.407,0.873,6,-6.496,1,0.0599,0.00021,7.96e-05,0.979,0.448,128.83,2i7vjApy25wdbZWHAvAaGM,305293,4
0.523,0.884,10,-5.506,0,0.0732,0.00662,4.93e-05,0.696,0.455,138.102,444zbUam6qDxyXt0xp5cXY,218533,4
0.533,0.438,8,-11.012,1,0.0307,0.168,0.0213,0.959,0.28,103.144,6c9LwjdQj5A248kGw8ZXkm,351333,4
0.465,0.934,2,-5.561,0,0.0482,0.000641,8.69e-06,0.796,0.471,126.918,4unKLI7od1EkMrofONtwgM,247760,4
0.46,0.692,2,-6.522,1,0.0418,0.12,6.93e-06,0.712,0.308,154.047,5GrVnYo1SUPi4HQVleLMw8,223960,4
0.37,0.835,8,-5.956,1,0.0588,0.000254,0.00609,0.881,0.346,136.326,7J2VFJ340VwyhHPhkJg7Cn,272347,4
0.442,0.746,8,-6.443,1,0.0542,0.00667,1.55e-05,0.679,0.365,146.659,4EugMReME6TwEbhElPSWAa,202880,4
0.5,0.329,11,-12.129,1,0.0313,0.468,0.0,0.709,0.216,141.005,3KoLR4PVqcp3C4W1YVugwZ,331507,4
0.511,0.925,6,-5.638,1,0.048,0.000698,0.0,0.735,0.64,120.615,0jqgeorxyyZF8K6Trf2T9O,198627,4
0.456,0.703,5,-7.315,1,0.0297,0.00382,0.000187,0.679,0.384,115.607,6p1zuyGQgECE3eHVFrqGAu,255400,4
0.365,0.25,6,-14.057,1,0.032,0.866,0.0,0.732,0.219,94.783,1eglJu5IR8XpxMvfRfMEd3,283227,4
0.345,0.802,8,-8.279,0,0.105,0.00424,3.1e-06,0.469,0.43,144.84,5drN0lMc6WYmAZPHAISNK0,368853,4
0.373,0.917,7,-5.04,0,0.0495,0.011,0.0,0.946,0.343,155.734,7fM86sZSBPhJBJ2f6KSUuX,241827,4
0.285,0.685,4,-7.653,1,0.0553,0.211,0.0,0.963,0.384,174.192,7ueIVKuBxaz3GZxtTOGrRN,338013,3
0.353,0.93,9,-8.619,0,0.0882,0.000745,0.000439,0.307,0.331,170.216,11F8qzCHpjQimvGbn0c6hc,233200,4
0.573,0.822,4,-7.653,1,0.0436,0.00895,1.92e-06,0.189,0.739,138.142,3CqfQGdcmjSL6ksSuJpzNT,232627,4
0.578,0.855,5,-8.057,1,0.0414,0.0388,5.56e-06,0.345,0.732,126.264,7fG4AeCFHXxeXnAXfkmiFk,210733,4
0.43,0.409,9,-9.677,0,0.0263,0.311,1.43e-05,0.115,0.0931,88.14,00BeJ2glIuaOtxkgK1SR4K,259840,4
0.487,0.887,11,-8.633,0,0.0491,0.0104,1.97e-05,0.49,0.573,160.254,4p4Ml14jcjfJuxJ2of4v7f,246467,4
0.549,0.975,1,-10.79,0,0.049,5.79e-05,0.244,0.111,0.171,115.141,202tYWCDHM52udVKDIAKyG,366267,4
0.64,0.808,8,-9.854,0,0.0313,0.0318,9.87e-06,0.0865,0.408,134.29,10yuyRwZFhtL8RvAU9MTAK,210627,4
0.564,0.799,10,-10.258,1,0.0445,0.0055,0.000342,0.38,0.91,141.171,6C9ocuJSYXRz7QehjZTwn7,178440,4
0.57,0.687,6,-9.831,1,0.036,0.000914,0.0,0.12,0.494,118.255,6EqfvawS2AGw9YDINkK1cu,282760,4
0.558,0.799,9,-10.643,0,0.0331,0.000559,5.53e-06,0.14,0.481,95.14,0mT0X3CYRYWzkuOBjlNJ9R,292640,4
0.287,0.477,8,-16.51,0,0.0517,0.508,0.896,0.366,0.136,109.53,1P3ayFJ612KrhzWEYhDhRH,106627,5
0.447,0.737,1,-7.769,1,0.0393,0.0019,0.0,0.132,0.393,80.995,0Hs4dbFHZ0EFjCRL4awAVl,301947,4
0.446,0.9,3,-6.746,1,0.0565,0.000229,0.148,0.147,0.516,137.988,1yCOmsROwvQ6lMRupXtASj,206680,4
0.807,0.529,10,-9.695,0,0.0382,0.00422,0.229,0.131,0.797,106.011,1FyCLsBrOOEqmzgq5ZQdmw,234427,4
0.55,0.564,11,-9.597,1,0.0258,0.0013,0.0833,0.107,0.302,101.456,43DPUsnWsb3oAikUhFzmCM,306920,4
0.458,0.788,6,-7.589,1,0.0361,0.000135,0.885,0.183,0.585,75.028,3sRvz84PtczJnboDV0rLMp,226584,4
0.266,0.888,1,-7.301,1,0.0808,3.41e-05,0.0287,0.271,0.416,195.836,6RHKcC6yOUpNydjVp9MGNR,244016,4
0.505,0.466,1,-9.447,1,0.0302,0.000636,3.8e-05,0.452,0.521,172.143,4mHYsYw1A0c0o6tb8JRPY1,203012,3
0.389,0.787,1,-7.575,1,0.0413,4.06e-05,0.000142,0.117,0.406,156.776,5fYmbBkwUhXfVIayP9zyLk,259077,4
0.295,0.776,1,-7.679,1,0.0456,0.00757,0.000137,0.148,0.277,170.071,1NoQKx1CYiYFgbxk0MgAmr,162396,4
0.463,0.859,1,-6.428,1,0.05,7.35e-06,0.0302,0.149,0.587,131.952,16ZNjYrq659gHD0EKVht4X,197467,4
0.479,0.801,11,-7.717,1,0.0402,4.25e-05,0.00157,0.333,0.767,124.965,4cyEb47AI8vBno4kwuHD0m,141938,4
0.493,0.488,6,-9.576,1,0.0273,0.215,0.00414,0.14,0.424,147.897,7C5bQkfDnkK7oGGaMjmk8f,189108,4
0.456,0.79,8,-7.585,1,0.0394,0.000494,0.000901,0.114,0.299,115.027,6T47jIHTGCNWLuSUVlOjEJ,263238,4
0.307,0.37,8,-10.402,1,0.0308,0.31,0.000121,0.111,0.214,177.799,1CxnbcaQrzOMPf1jNQQ1PF,333415,4
0.555,0.43,2,-9.105,1,0.0295,0.462,0.000191,0.0869,0.274,147.613,6ET9kf9riLETWs9lePUEAI,246133,4
0.699,0.808,3,-5.926,1,0.0296,0.579,7.16e-06,0.167,0.794,111.977,3420nZEhm99I1bLc6Yx4XH,226667,4
0.689,0.614,4,-6.137,0,0.0306,0.252,1.95e-05,0.178,0.411,141.97,30VHURM5NOfoZmqp2iKawS,219053,4
0.503,0.536,4,-7.229,1,0.0259,0.642,0.00143,0.111,0.21,90.966,5ToJzoVfLYyF7ohMOBNObi,241467,4
0.557,0.147,9,-14.173,1,0.103,0.903,0.0,0.176,0.482,55.513,4FjkZp6GD6baaxqUYTqIJo,78187,4
0.623,0.631,10,-7.52,1,0.0352,0.266,7.2e-06,0.0931,0.273,121.973,5F5lmpwXkxAJtvZqEguTRo,256147,4
0.447,0.429,1,-7.36,1,0.028,0.718,0.0163,0.105,0.074,116.521,5bum4HbCDFoB9wpsc0sQky,216280,4
0.642,0.657,10,-5.246,1,0.0333,0.249,0.0,0.111,0.658,90.0,04MoJkJzCoU9ukeewv5Vzu,243187,4
0.677,0.616,1,-5.241,1,0.032,0.173,0.0,0.0427,0.736,89.988,65krgqLiZqW12PZAUQ9l2x,154387,4
0.669,0.653,11,-5.675,1,0.0269,0.11,1.58e-05,0.0826,0.528,104.995,38UCGIpo273uGgdBXbi992,240427,4
0.725,0.674,11,-5.254,0,0.0363,0.0325,3.55e-06,0.0531,0.773,120.057,2U2Z1IXnmJIvlknWizFykZ,213693,4
0.611,0.555,6,-6.372,0,0.0274,0.0952,0.0,0.11,0.413,88.969,0pMfPzdRiPAoSM9yWF4OcT,198453,4
0.581,0.197,3,-7.697,1,0.0329,0.88,0.0,0.107,0.349,130.367,79qxwHypONUt3AFq0WPpT9,214293,4
0.512,0.93,9,-4.343,1,0.0508,0.17,0.00119,0.561,0.677,100.542,3NHdWMKt5riDrm6Dx0ygbj,231093,4
0.923,0.795,11,-3.61,0,0.117,0.0394,0.000599,0.101,0.587,123.021,10S5pjn53SgRhFtH3HK7sK,242133,4
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,1pQ85AFFGOcTTY1jyYXDXG,194088,4
0.849,0.745,8,-5.975,1,0.087,0.0414,0.0,0.388,0.674,106.968,3DFxO937jIUicMJGrVq87z,177227,4
0.752,0.92,2,-6.111,1,0.0649,0.0148,2.03e-05,0.116,0.744,114.16,5bhhzDVdQXuRuiOaXqPPDk,238267,4
0.841,0.701,6,-6.365,0,0.191,0.00215,0.00272,0.627,0.802,111.856,2Mizs1jKu5e6IAnVP6En1l,262027,4
0.805,0.574,1,-12.43,1,0.346,0.0011,0.0468,0.0514,0.899,176.452,2JkUZHqXGo4ydmF9ZAbI3T,271600,4
0.603,0.522,7,-7.6,1,0.0978,0.335,1.06e-06,0.0917,0.705,143.249,0J6VnP6TsT2tJzs77y1I7Q,168893,4
0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,1oUXCSx9FGzjd4FQKn3rb6,196213,4
0.756,0.769,1,-3.502,1,0.0344,0.194,0.0,0.179,0.727,119.958,3tTctLMO3udrJHjWMwQ6Ps,246467,4
0.63,0.799,3,-5.232,0,0.0375,0.00312,0.00159,0.0834,0.702,96.006,54Wnla8DXMoYmD0hByP8y1,206413,4
0.77,0.618,6,-5.232,0,0.0529,0.00599,3.22e-06,0.0486,0.875,114.027,5SHebLpS787QXClYt4uYUX,141984,4
0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,6drdEFj9w6tjARkSahCG80,230240,4
0.559,0.862,0,-3.3,0,0.108,0.0679,0.0,0.362,0.62,139.784,1hiE4u0nDKP24eGgQOVcBO,229867,4
0.714,0.766,8,-3.373,1,0.0322,0.0144,0.0,0.0544,0.597,124.998,3NyjeS7wEaF1wuSsnL7ERM,283880,4
0.456,0.921,2,-6.238,1,0.14,0.00064,0.0187,0.04,0.455,141.339,36o6LfTsnglrDJ17TkFSVv,266523,4
0.472,0.902,2,-6.953,1,0.069,3.03e-05,0.842,0.0291,0.588,141.165,0IT5B1cNbXq7Vv2DKnCyKS,271554,4
0.48,0.934,1,-5.411,0,0.0598,1.24e-05,0.01,0.214,0.674,124.007,6LvgoSIYyB6RRFmAtGHUrz,261613,4
0.555,0.94,1,-5.977,0,0.0384,1.76e-05,0.133,0.0471,0.817,127.946,3DS74azOIk9XVJtTWItqNl,232453,4
0.338,0.844,1,-6.577,0,0.0452,3.91e-05,0.00126,0.0774,0.284,135.984,33HdtiP30rbxYM2EoU12TR,367507,4
0.283,0.853,8,-6.085,1,0.0786,1.83e-05,0.0472,0.0412,0.49,103.178,2oKDJLIZFQQkIbHV5ZDLsl,444440,4
0.464,0.944,9,-5.926,1,0.134,6.3e-05,0.000143,0.0765,0.395,128.926,68oxkbkFRBZ0cXLnmZvNSC,250133,4
0.689,0.596,4,-6.655,0,0.0376,0.00138,0.000603,0.0677,0.441,118.758,2R5uqp2wFE5k4VP6bEiONi,364773,4
0.382,0.854,0,-6.56,1,0.0434,8.89e-06,0.00492,0.0795,0.581,179.981,4Z5E9HqENIVAHcnpi07BBn,265413,4
0.562,0.951,9,-4.794,1,0.0637,0.000463,0.0359,0.111,0.671,128.249,30OIpBm4Dwsxhw3uf0XRyd,251387,4
0.25,0.975,3,-4.875,0,0.19,6.48e-06,0.000626,0.0706,0.33,114.766,663S9wyliHK0rk7uX889h5,234013,4
0.483,0.741,6,-6.062,0,0.0343,2.07e-05,0.000472,0.0546,0.605,78.025,5dBLiTbZ6RI54PJUxHCAVe,310040,4
0.914,0.539,0,-9.324,0,0.28,0.0997,0.0,0.0992,0.702,90.474,715neEFCjUzUt37C3vlqDE,130000,4
0.191,0.213,2,-13.105,1,0.04,0.91,7.92e-06,0.127,0.112,114.784,47wMld6IsjIhHoopVjGpzA,197376,4
0.243,0.349,2,-11.061,1,0.0344,0.873,0.0,0.117,0.475,128.084,7oiOEDqkHN0R7OZtQEAWiD,347405,3
0.502,0.529,9,-8.952,0,0.0376,0.595,0.0,0.0952,0.448,102.295,6KvWUC9Uj5uCug3f6MVuJg,219614,4
0.359,0.253,7,-9.238,1,0.0302,0.851,4.24e-06,0.118,0.265,89.723,2dbXF6IGhuq6O63bJ1TFYr,364990,4
0.358,0.522,8,-9.636,1,0.0276,0.669,0.016,0.222,0.185,133.863,1cUYloGMo1wk2OUxiXFZ1Y,275624,4
0.245,0.233,4,-11.219,1,0.0326,0.949,7.27e-05,0.0937,0.0926,79.641,7xOOHNV0eB6lmVmpnkR6TJ,349459,1
0.421,0.202,2,-13.022,1,0.0298,0.816,0.000899,0.109,0.0982,135.968,6RLI5LENz1tlKwUNTRH0ZP,400461,4
0.326,0.423,8,-10.072,1,0.0351,0.322,0.000584,0.143,0.119,121.849,0iyUykVM2x7wG1X0proKhd,283618,4
0.366,0.348,2,-9.906,1,0.0299,0.446,0.0,0.135,0.199,129.623,6FXo0D0mdC3H7X7sQfArnh,327343,4
0.377,0.96,6,-4.6,1,0.0647,0.0514,0.112,0.979,0.347,120.585,7GR4D2BKzURTfIwKcn9wR0,184040,4
0.397,0.913,7,-5.249,1,0.0518,0.00437,0.0263,0.878,0.44,123.942,0xwrI6D4Mg9zj3Yl8pBCiz,326720,4
0.178,0.931,6,-5.281,0,0.0771,0.00426,0.0248,0.99,0.238,87.518,4F0cV3CVd5Wv7MBNSRJLlP,329120,4
0.123,0.925,6,-5.938,1,0.121,0.007,0.146,0.956,0.351,73.722,6PeVrAiBXfR2awQzcKx2zg,237507,4
0.405,0.924,11,-6.044,1,0.0585,0.00526,0.0608,0.562,0.481,120.549,4Dnzspv8udG7Zoo7Rtyo2J,287400,4
0.182,0.888,6,-6.905,1,0.0795,0.00104,0.014,0.866,0.296,166.173,0RAFgfGiWXqkmwlqXW8KX5,273867,4
0.278,0.928,6,-6.298,1,0.105,0.0987,0.00697,0.99,0.283,103.842,5c6qzelRHCug71RP0DMjJL,456827,4
0.347,0.886,6,-5.796,1,0.142,0.143,0.132,0.976,0.46,130.45,1WW0wonLdF06FDmO6G0ycz,1135280,4
0.337,0.975,1,-5.074,1,0.125,0.00256,0.00926,0.971,0.354,94.468,6UbZEiLMtt2icLF6GZtfhz,194627,4
0.274,0.804,6,-7.524,0,0.0906,0.0015,0.0827,0.964,0.258,150.666,7oFxPQlNji4pxR2jMbJupx,506000,4
0.253,0.941,4,-4.945,0,0.159,0.00561,0.00843,0.973,0.189,123.75,3wiVf3DUyocGimtyz3uMc6,286760,4
0.23,0.964,9,-5.91,1,0.124,0.0574,0.0246,0.937,0.0726,98.113,0auj0qPsF7bpQxJlwPqC7N,292360,4
0.189,0.969,11,-5.367,0,0.226,0.0443,0.000114,0.954,0.0937,156.603,2HvZAt9r3r7KNPJpY36kzV,593667,4
0.18,0.898,6,-5.181,0,0.108,6.5e-05,0.321,0.317,0.407,162.165,39iq5xigDMQpRJHCkTkuYr,385880,4
0.375,0.476,7,-9.446,1,0.0362,0.00321,0.548,0.744,0.107,109.972,7dcOBoL4fox8MVfOO7HJPs,503640,4
0.378,0.906,4,-5.887,1,0.0753,0.0658,0.11,0.492,0.584,102.872,2hzrY5vvHekjYW1v13MwvO,332053,4
0.312,0.886,3,-5.916,0,0.168,0.00559,0.482,0.742,0.629,102.098,29CbX23QLwgm50MTLNaxzj,303280,4
0.291,0.895,2,-5.731,1,0.0846,0.00986,0.345,0.728,0.526,143.644,61EDVtKlolfLlBOyHx60xV,399693,4
0.737,0.892,9,-5.532,1,0.0462,0.114,2.56e-05,0.0623,0.895,106.019,6ipAF6sawsQoer7OUWUcZj,345000,4
0.839,0.855,7,-8.08,1,0.0649,0.0428,0.00475,0.0326,0.668,107.722,0GIjlDeOEOom1O0YgTaAwS,223720,4
0.857,0.957,6,-6.329,0,0.069,0.0711,9.83e-05,0.0638,0.855,116.199,3WV16bVOEUEdAn7vNE4tEj,258867,4
0.72,0.666,4,-16.312,0,0.0529,0.0354,0.0189,0.391,0.803,122.398,7g5Am5wl2d2Lv3yvIUAUeH,391200,4
0.855,0.366,1,-13.235,1,0.038,0.00749,0.0116,0.0538,0.83,103.296,0tEDWo8KHIifSCI3tbH9CV,298027,4
0.576,0.567,7,-11.875,1,0.0537,0.168,0.0615,0.0801,0.963,106.026,0lMfM0bQ50HYpZzhV0X8M0,332400,4
0.538,0.807,10,-7.441,0,0.0458,0.276,0.000273,0.425,0.923,205.659,1wCbIhPXRO1j2Osl1vprgZ,194867,4
0.571,0.643,5,-7.243,0,0.0365,0.0315,0.031,0.11,0.662,178.341,2BvFqGeBJcvpQHxNOXCmpX,575307,4
0.832,0.56,9,-11.276,0,0.0708,0.284,0.0331,0.0464,0.911,105.451,1YjL9lZzIFwCVEPDvhO12P,164200,4
0.768,0.634,9,-8.146,1,0.229,0.211,0.0,0.0532,0.728,112.543,0jCDYuSIOE8dRbkRcCWMb0,201742,4
0.825,0.899,9,-4.382,0,0.0411,0.109,0.00125,0.0875,0.946,132.096,5qEMX3tMEhBmoYKDokDDX5,287000,4
0.805,0.952,11,-3.268,0,0.0612,0.107,0.000304,0.369,0.89,122.503,5kzjDLYng4g9YRH3WoSNtC,244821,4
0.877,0.422,10,-14.933,0,0.0546,0.0398,0.000395,0.182,0.97,131.105,3dc6YOdPbow70QgD9oMRzk,307933,4
0.809,0.792,7,-8.481,1,0.054,0.0362,0.0526,0.341,0.94,107.272,025v102R4SyA002SR0WTxM,239621,4
0.899,0.491,6,-11.043,0,0.259,0.148,3.82e-06,0.411,0.826,107.706,60oU0LSMzTt4879V5ROuRv,287107,4
