danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.508,0.588,10,-10.353,0,0.499,0.299,0.0,0.714,0.498,131.802,6EtAxcQoRc5SwDqUQ5HDzU,302500,4
0.423,0.436,10,-11.046,0,0.444,0.313,0.0,0.161,0.221,69.314,7HAwvdJaEUnRFb2hxc8Iz5,233015,4
0.548,0.656,0,-7.729,0,0.616,0.327,0.0,0.276,0.359,101.63,35V0zZq4Sw8PRLMjiBIaNk,220836,5
0.404,0.708,1,-8.984,0,0.517,0.0817,0.0,0.153,0.231,173.929,3jfBNmL8d0tt338q2DNz1l,368896,4
0.571,0.455,6,-18.881,1,0.932,0.176,0.0,0.769,0.431,85.314,5K2sTBCUL9DMNmTuCVC3kf,144393,4
0.591,0.321,0,-9.202,0,0.0814,0.102,1.12e-05,0.0841,0.0795,133.8,70bx1d7tQbVm768tZKbRhn,360502,4
0.311,0.725,1,-7.547,1,0.274,0.047,0.0,0.282,0.419,51.101,3SaVNpsfW7EHh4DWHBBmFl,157235,4
0.727,0.567,4,-10.139,0,0.571,0.502,0.0,0.259,0.452,120.097,5PqVcm1TdqsjXkShVVV7UY,237046,4
0.445,0.645,1,-8.177,0,0.24,0.693,0.0,0.16,0.494,90.127,7KfzWmcmBg73Uu8K0ztEnn,235930,4
0.57,0.675,6,-9.213,1,0.523,0.181,0.0,0.2,0.306,82.617,2XkYcbrEv83s6wD0AkeCbz,195080,4
0.408,0.689,0,-9.684,1,0.588,0.062,0.0,0.188,0.481,74.107,7iLa4djDVAwhe5Vim7NhZf,284239,4
0.641,0.561,2,-10.243,1,0.314,0.0657,0.000697,0.113,0.14,117.647,7ctmRgh71PpU5wz5q5K0tO,233375,4
0.577,0.602,4,-8.704,0,0.336,0.362,0.0,0.606,0.334,85.616,2DlR6flZreklDX66KfWN2R,216595,4
0.601,0.549,0,-9.359,1,0.332,0.571,0.0,0.139,0.352,134.699,4vQZybgKdjn1DvLcT9LxvE,263087,4
0.498,0.735,1,-8.997,0,0.529,0.459,1.94e-05,0.233,0.462,142.247,4E5avB6M2QNc5wDeRway2o,290350,3
0.788,0.745,0,-4.925,1,0.0868,0.379,0.0,0.11,0.857,120.056,2AYcbZpWNoltAb4wUsHo3O,207924,4
0.761,0.899,10,-3.09,0,0.183,0.0137,0.0,0.0719,0.673,95.021,6q1arKSOpcucZc6H7Ln2Pp,217587,4
0.808,0.792,10,-6.41,0,0.143,0.0418,0.576,0.33,0.602,102.371,2VgkOURuMAV3pVw85GQFfU,288825,4
0.829,0.614,4,-9.883,0,0.237,0.369,0.0,0.109,0.773,95.332,5sF51pkLnOdRdzGOK7tEOC,250187,4
0.853,0.842,1,-5.582,0,0.282,0.0084,0.0,0.0772,0.718,98.658,6AfRtMAuUBE23WuZbUhXkP,343373,4
0.799,0.797,2,-6.091,1,0.23,0.00431,1.19e-06,0.393,0.414,105.978,64TI5crZLMYwF1SfNyXITf,283640,4
0.919,0.63,1,-5.417,1,0.0918,0.114,0.0,0.348,0.742,102.645,1pxByCdCNQzExaew59I8KR,243133,4
0.78,0.754,5,-5.377,0,0.0953,0.135,0.034,0.0467,0.81,82.392,1EOo7DY4BOKGkpF2gEi6GX,260307,4
0.782,0.821,6,-6.753,0,0.261,0.017,0.0,0.097,0.711,94.007,3JwPyOrNN7WjYgZf1MD0FP,251040,4
0.864,0.738,1,-6.452,1,0.262,0.0256,1.24e-06,0.278,0.76,95.191,1ekvaATO8x6OV3ejqXxbrd,217582,4
0.782,0.588,1,-4.828,1,0.188,0.146,0.0,0.164,0.866,90.438,0crS5009AZUNIxJOGxlsmK,223547,4
0.813,0.847,1,-4.899,0,0.203,0.0209,0.0,0.318,0.699,99.871,4B1Pl9VFoxmGlxexZYXtPR,275636,4
0.887,0.679,9,-10.851,1,0.0685,0.059,1.52e-05,0.115,0.936,111.614,0cgGS6f3E9hxFgVVgqahe9,237733,4
0.608,0.668,6,-7.044,0,0.397,0.0138,0.0,0.427,0.38,99.24,6XKrEkCyL57Lvj0HABelv3,136453,4
0.86,0.795,10,-3.89,0,0.272,0.0438,0.0,0.0493,0.695,91.029,41vyIqSOGIVnxKHTEzNmLe,212053,4
0.754,0.792,10,-8.21,0,0.156,0.0343,0.00222,0.312,0.843,94.142,3jb8x4jveDRCaTbQGNQTyP,296267,4
0.79,0.727,8,-6.136,1,0.274,0.0349,0.0,0.378,0.653,87.792,18XDIYpqHnNefQEwljNAV8,338320,4
0.834,0.807,10,-9.203,0,0.217,0.052,1.91e-05,0.163,0.488,104.92,1Iuy6r16dh97XOR14vmgUw,225520,4
0.662,0.928,2,-4.688,1,0.376,0.00323,0.0,0.17,0.773,90.509,5lqNFvPH6O9tgbTWI9g96a,227427,4
0.888,0.622,1,-3.875,1,0.213,0.16,0.0,0.101,0.664,91.977,2yn4fmaB73EQFKEOj3rhyw,266707,4
0.778,0.634,1,-5.941,1,0.171,0.0198,2.96e-05,0.291,0.752,125.26,3LY5v6sPlqeyksDs17cui6,304507,4
0.844,0.61,10,-10.675,1,0.216,0.00748,0.0,0.563,0.727,91.117,3Sw33okY0DTtQJ6alvxFE6,296333,4
0.836,0.484,2,-7.332,1,0.327,0.0454,0.0,0.0557,0.839,95.941,7Eac3cjsjRlCUx0bkQ5wgR,222933,4
0.788,0.876,6,-5.665,1,0.24,0.177,0.0,0.347,0.648,87.002,30wUIaEe7m65sdNgvxgidP,303333,4
0.791,0.519,6,-8.244,0,0.122,0.0359,0.0233,0.114,0.581,92.048,7zAWQABkGLQEiqmRewsooI,204800,4
0.626,0.811,6,-4.105,1,0.207,0.0047,0.0,0.166,0.286,155.775,3KC9nvTaFbDgf4Z5yr66QB,287147,4
0.484,0.711,1,-4.584,1,0.239,0.141,0.0,0.378,0.46,90.964,3DMXiIcLKQMmW5sx7kg8Qi,284653,4
0.66,0.837,8,-5.998,1,0.329,0.0106,0.0,0.373,0.731,89.97,7DNRpV6Wxj30Qe4ZiFJmiR,241800,4
0.778,0.821,2,-3.455,1,0.302,0.0449,0.0,0.0822,0.491,99.824,7KSSj22YacBcMKVQr01jc2,197788,4
0.691,0.925,2,-3.215,1,0.189,0.00358,2.25e-06,0.439,0.739,93.023,79uS2OYVz7WtsLO7yT3nxB,230680,4
0.566,0.886,8,-3.777,0,0.295,0.308,0.491,0.123,0.737,77.809,2MxDE0uXnNamI8TTEYkzmO,259971,4
0.418,0.984,6,-2.388,1,0.292,0.0484,0.0,0.369,0.351,160.252,3gYlPhzJ4dOaCgPmecwWit,200713,4
0.415,0.886,5,-5.212,0,0.613,0.008,7.72e-05,0.189,0.509,228.078,7d9PG465UuGgNvr8z0niIa,229440,4
0.675,0.724,1,-6.527,1,0.266,0.0251,1.82e-06,0.0719,0.504,91.037,55MAdsxhlYjI6omhH47VoC,297640,4
0.641,0.897,0,-3.099,1,0.0575,0.00149,0.0,0.0965,0.292,109.971,5TGF0YfDjLmumu0mEPl52Y,232973,4
0.718,0.923,2,-4.86,1,0.114,0.135,0.0135,0.143,0.603,97.007,2T7CSP07DzJIyMcF3ruALs,247493,4
0.535,0.938,1,-4.161,1,0.207,0.000526,7.62e-05,0.106,0.468,110.055,1kh2MKo8FK9RMaTS4B4doK,219560,4
0.318,0.946,11,-2.827,0,0.58,0.00916,0.0745,0.73,0.434,177.969,4SxgL4HAAC9SA9hhVcZ17d,217160,4
0.844,0.739,11,-6.141,0,0.391,0.0962,0.0,0.0853,0.749,119.904,2aapCJu4bTy61b1pZIjiIl,264800,4
0.648,0.886,11,-2.472,1,0.371,0.074,0.0,0.276,0.63,91.099,3d1KnM7U3wohmNQK6NuneP,206983,4
0.612,0.845,9,-4.411,0,0.311,0.0374,1.35e-06,0.0966,0.7,161.975,3xUuHAhRRErAujj0s2S01g,206133,4
0.702,0.934,4,-3.823,1,0.102,0.045,1.98e-06,0.0965,0.865,151.643,13Hu5rNL5UCyhul2qwQFBz,244173,4
0.708,0.97,1,-3.903,1,0.0971,0.0134,0.000124,0.147,0.573,108.999,4jhpPeZtTp9GDNQ48RRz8D,225053,4
0.474,0.837,8,-2.082,0,0.308,0.0515,3.19e-06,0.228,0.652,82.238,3rAKsHdLsqR9ZZ61bErvj4,241373,4
0.809,0.664,9,-5.287,0,0.372,0.0101,0.0,0.175,0.613,82.187,0ypIyoJN3oaY8giCuiHuw7,240960,4
0.492,0.817,11,-6.269,0,0.354,0.029,2.6e-06,0.125,0.258,84.574,6v3d0dUpIPunn3p7oC79jO,138373,4
0.399,0.711,5,-3.714,0,0.216,0.0897,0.0,0.249,0.189,74.924,5TLKlMhZqgPeaK9BuYfn5Z,232867,3
0.625,0.721,9,-6.007,1,0.0792,0.00601,0.0,0.124,0.343,150.014,1o2fYzoGLh8vQyZ3gdd1IN,236907,4
0.432,0.706,10,-7.12,0,0.155,0.0297,0.0,0.0846,0.28,82.057,1QnLwL3VFQo8r1FCF5cdhe,262627,4
