,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
0,0.748,0.633,1,-8.452,1,0.0332,0.13,6.63e-05,0.136,0.7,95.998,4FXaFlidASUMcdHncyQra4,160227,3
1,0.717,0.672,7,-7.105,1,0.0797,0.123,0.0,0.0823,0.814,94.045,6YyZVnlgQXSIwEI6WQfqvO,122853,3
2,0.765,0.617,2,-8.184,1,0.0868,0.248,0.0,0.133,0.295,133.996,1ZnhZ9w8rxCE5es8FjYeue,162760,3
3,0.674,0.557,7,-8.236,1,0.042,0.103,0.0,0.605,0.496,160.011,444B6qH3GKiLL9C973SrDZ,114173,3
4,0.768,0.627,10,-6.686,0,0.0667,0.475,0.0,0.125,0.749,139.955,2CUsdWw6sOkmN9L9c4Kxhn,123560,3
5,0.721,0.491,10,-8.06,1,0.0848,0.578,0.0,0.13,0.624,159.987,00UglBXHYi5xJLuPC0Wpxx,159413,3
6,0.69,0.647,7,-6.651,1,0.0322,0.244,0.0,0.149,0.681,154.927,1cGB3hQSeq4F2YndJ2p8MF,177960,3
7,0.795,0.525,2,-9.855,1,0.0354,0.296,0.0,0.108,0.519,99.001,6ISgXImNugRvT0HgbTFoeo,164987,3
8,0.7,0.522,6,-9.234,1,0.0797,0.272,2.15e-05,0.194,0.573,117.979,3M6Uu9DVX0YwMgD5YqU2ep,154133,3
9,0.711,0.592,6,-8.601,1,0.0438,0.368,0.000141,0.127,0.236,100.006,7KIMYbL2FynU7c3hSFmBDr,141307,3
10,0.681,0.619,9,-8.468,0,0.0823,0.387,3.69e-05,0.106,0.477,153.947,3F1Licez5DuS3Yb3u1wIeO,137867,3
11,0.747,0.695,4,-6.903,0,0.115,0.249,0.0,0.0961,0.687,90.084,4hF6L1sDPW4btNq1zKRAT8,141467,3
12,0.744,0.699,9,-7.449,0,0.159,0.126,0.0,0.114,0.802,147.055,0lqfu3zOhCIiSuQiBJq6MF,182720,3
13,0.694,0.524,1,-8.209,1,0.119,0.352,3.53e-05,0.129,0.691,151.897,1fssK434oCPFYqrQMdypc5,177240,3
14,0.854,0.324,2,-7.634,1,0.0741,0.133,9.13e-05,0.0876,0.0734,132.963,3Sx8k6SH4gqMMjS7nqLcJR,205714,3
15,0.801,0.72,2,-6.533,0,0.185,0.387,0.0,0.157,0.689,90.004,2wqQ6IOm6pEIUOgPNzegah,191467,3
16,0.774,0.473,1,-5.122,0,0.0569,0.221,0.0,0.222,0.416,97.953,4oM9DGUTrRaXJDypxxHztZ,177253,3
17,0.711,0.668,7,-4.623,1,0.0506,0.161,0.0,0.0684,0.426,95.029,3WR62fNqp4JltLAtGFOjiz,187187,3
18,0.0,0.291,5,-18.284,1,0.0,0.947,0.0,0.0,0.0,0.0,5zu4i5JZl0ePLcZFRrNVFG,6973,3
19,0.758,0.574,11,-6.889,0,0.0572,0.46,0.00272,0.102,0.261,151.985,7nvIPwXKGhqtRhssxM99kJ,191147,3
20,0.701,0.783,0,-5.607,1,0.0591,0.236,0.0548,0.174,0.77,75.027,6N5qAaUMXhmFBBCBmO3T0X,174640,3
21,0.473,0.54,7,-4.568,1,0.0788,0.626,0.0,0.445,0.221,90.029,4Zi1N9sfQFf0MEKYzrYhVp,194613,3
22,0.811,0.681,8,-5.565,1,0.0491,0.43,0.0,0.0941,0.901,139.982,7bSS9KRmbvbDw7r9DvGxJm,208227,3
23,0.689,0.702,2,-5.278,1,0.0356,0.203,0.00052,0.145,0.562,98.018,2Z8WXN2oV5dzxTWjscQQr2,207787,3
24,0.359,0.469,0,-10.277,1,0.0509,0.299,0.832,0.438,0.158,152.03,2G0CAGJWKBnaPrA3Htj2Jf,72760,3
25,0.875,0.858,4,-3.886,1,0.0496,0.081,1.27e-06,0.381,0.7,121.978,0Hhn29xNKdOcNcGO3TPbCg,187797,3
26,0.516,0.871,6,-6.794,1,0.32,0.179,3.92e-06,0.308,0.647,73.64,0osRJM5kvt7PnNbzpzv9Uj,129103,3
27,0.694,0.671,6,-7.149,0,0.134,0.225,0.0,0.145,0.27,158.864,09NtNfFG4vpHsAUbdUug0M,196180,3
28,0.49,0.303,8,-14.768,0,0.422,0.864,0.000383,0.105,0.0569,62.818,4Tqro5z3Uj9cDOWKOPaqMD,82613,3
29,0.42,0.726,3,-7.113,0,0.415,0.516,0.0,0.0907,0.316,76.585,1Yl4UBgyoHPgyne7rEsFZp,283067,3
30,0.768,0.62,2,-7.399,1,0.0658,0.139,0.0,0.521,0.589,132.035,3mTpegrOwRn0oJjv4TSbEE,225960,3
31,0.813,0.563,7,-7.083,1,0.269,0.0293,0.0,0.125,0.761,83.009,6sZv0ECT8cEW3oZtoCuVg4,208160,3
32,0.521,0.285,5,-14.619,0,0.105,0.936,0.000168,0.115,0.157,64.825,2NJu5JtZLPmmuZF7Lr4Arr,99680,3
33,0.745,0.572,10,-7.003,0,0.174,0.705,0.0,0.146,0.663,89.051,5pIn0ZiclQOMzoFUlgDY0f,237853,3
34,0.556,0.574,10,-8.555,0,0.0951,0.0929,0.000219,0.113,0.29,138.954,4OSRNTDInE9bDHBBJ77tMw,237947,3
35,0.695,0.768,5,-8.819,0,0.136,0.00137,0.0,0.0964,0.499,156.974,5vSqkO8k4lrXPj2xlYL4br,184587,3
36,0.44,0.671,3,-10.598,0,0.477,0.764,0.0,0.212,0.479,83.078,4OkiWfrZKmmVoILXk8JEtl,234387,3
37,0.727,0.781,5,-8.614,1,0.29,0.103,0.0,0.0537,0.682,81.076,3l6lmZCaZdnc90MI2BktqP,263720,3
38,0.793,0.498,8,-11.208,0,0.17,0.0974,1.26e-05,0.13,0.427,119.988,6Nw1WHydftZy2joT2nTiCR,190653,3
39,0.326,0.65,11,-9.574,0,0.199,0.396,0.0,0.119,0.438,84.461,2lSyPI9VHK06g1yxbtwMXq,211520,3
40,0.425,0.768,9,-5.969,1,0.272,0.0551,0.0,0.19,0.274,81.337,1CivPhVrRCMZixFOQe3NKx,274960,3
41,0.332,0.791,1,-4.489,0,0.22,0.0311,0.000264,0.104,0.439,79.65,2a3QH6bZDNpeC2YUMH5A2K,212800,3
42,0.455,0.647,1,-7.27,1,0.203,0.0207,0.0556,0.098,0.489,99.505,2aMHA0kCzCKDiRTNEe4NJc,285307,3
43,0.831,0.427,2,-6.903,1,0.106,0.0531,0.0,0.307,0.216,93.004,2wAJTrFhCnQyNSD3oUgTZO,235320,3
44,0.841,0.605,1,-7.427,1,0.345,0.00294,0.0,0.309,0.262,145.083,0ASHuncZLdgqTcoGMIgUxR,149040,3
45,0.751,0.479,10,-10.457,1,0.0377,0.759,0.00104,0.115,0.284,114.971,0auEaQZbRnomyp95qDher2,218230,3
46,0.729,0.429,10,-13.048,1,0.0302,0.788,0.943,0.101,0.137,115.016,40zfzsuuxvCox2YMXkYuBX,218185,3
47,0.68,0.414,1,-6.944,0,0.223,0.177,0.0,0.178,0.0734,148.029,1xXRsaPQDHm0LBu9k5M9Gx,155832,3
48,0.788,0.436,1,-9.435,1,0.364,0.0612,0.0,0.0979,0.341,129.848,0ecBpKN02kcskxhv9zU36y,177314,3
49,0.582,0.487,2,-8.208,1,0.455,0.00168,0.0,0.0941,0.308,80.326,5mDAISPtlXMieqR4tQcxuk,182000,3
50,0.824,0.513,10,-6.263,0,0.36,0.384,0.0,0.109,0.179,123.023,5kbOml6Nn57pChvRrzankW,203438,3
51,0.883,0.599,11,-5.551,1,0.248,0.0177,0.0,0.179,0.413,142.976,6kK6Tz8esTt3pqSaNiM1qB,183011,3
52,0.807,0.678,6,-3.243,0,0.177,0.0345,0.0,0.0986,0.21,147.004,6iZewhgNhJ3TW23kUAF2nD,173061,3
53,0.902,0.85,7,-6.39,1,0.358,0.0389,0.0,0.0838,0.556,120.13,3lb4Kpzc4bqOQ2l11ffolw,162791,3
54,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,5LDs1JQo0frXXFPTDZ7WBg,197530,3
55,0.892,0.486,11,-8.636,0,0.384,0.0481,0.0,0.146,0.529,120.995,5aRCmyBMkXa1Tfijt03OL9,214215,3
56,0.619,0.668,4,-2.115,0,0.271,0.0799,0.0,0.122,0.147,76.514,0RM3F4b0kFog99sPpIVjrG,201616,3
57,0.642,0.372,10,-10.201,1,0.582,0.0365,0.0,0.149,0.119,160.006,5Yv7eY9MdAXVaekTK1tUun,181341,3
58,0.9,0.846,0,-4.884,1,0.224,0.025,0.0,0.204,0.85,129.966,5yZfUh5T1sQwwjVqyfP4wz,188607,3
59,0.827,0.552,4,-7.571,0,0.274,0.0169,0.0,0.122,0.408,124.011,6OlvgAKJjNZbuyOh7dASoz,205760,3
60,0.562,0.604,9,-7.498,0,0.197,0.326,0.0,0.416,0.562,83.356,3Jrgo84SP2AoneCMSww7F3,176540,3
61,0.472,0.65,1,-6.676,1,0.126,0.117,0.0,0.14,0.11,82.563,33zpMyuU4WwuLFOR0HX68b,182330,3
62,0.817,0.439,0,-7.635,1,0.506,0.00434,0.0,0.282,0.215,149.967,5cto7j8JgWX6XMxLeyRiGt,181011,3
63,0.819,0.793,0,-5.77,1,0.0975,0.0145,0.0,0.362,0.531,85.005,6QIxLIRg3zkMes5UHKyFch,169783,3
64,0.813,0.422,6,-8.788,0,0.342,0.0624,1.41e-06,0.137,0.159,93.877,0EtDzvypBIlsIrUofKlOFk,163653,3
65,0.897,0.573,8,-8.017,1,0.407,0.0498,5.48e-06,0.122,0.765,150.086,3LKIc9sTvyoznI9eWm8Akr,167172,3
66,0.825,0.589,10,-6.875,0,0.452,0.0166,1.57e-06,0.135,0.339,156.037,41KQ7nleLWE58fw8BhJUw5,185854,3
67,0.849,0.64,5,-5.15,1,0.196,0.0471,0.0,0.321,0.36,126.005,5xrzU3SlcBRxG0VNmFNHOa,137826,3
68,0.837,0.663,11,-6.434,1,0.334,0.0762,0.0,0.0941,0.293,95.081,6PhChjgiQ3hERBwkqlAa5Q,156032,3
69,0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.956,00qca3mz2Xqf8NkrLEQPv5,144652,3
70,0.555,0.614,5,-5.715,1,0.44,0.17,0.0,0.267,0.372,80.03,31yiMT56qVTYwFMQyaQuNU,191583,3
71,0.559,0.684,6,-6.009,0,0.232,0.0342,0.0,0.162,0.249,150.059,7k5oDaCm4noFEBAR9sMrpF,167916,3
72,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,34vnQF8ApKfi00wTV5rrC7,181929,3
73,0.59,0.618,1,-5.756,1,0.334,0.0127,0.0,0.244,0.153,96.459,3HNWVQHXpW70ubsDhvnegu,252729,3
74,0.673,0.292,8,-17.44,1,0.71,0.847,0.0,0.125,0.828,111.677,18qP9Ns9SGgSCuCPLzdG6O,54278,3
75,0.356,0.509,8,-7.359,0,0.327,0.18,0.0,0.0951,0.494,168.492,1nwsxV3FiYC3SJD9OfcVfF,274309,3
76,0.76,0.746,0,-5.331,0,0.227,0.137,0.0,0.0905,0.449,100.011,6JsHgIkMYHcbNtKfsal2Mg,233546,3
77,0.72,0.517,10,-9.191,1,0.369,0.199,0.0,0.164,0.445,119.952,0BpYTh0O2ut5wvt0QtDGt4,237452,3
78,0.41,0.343,4,-13.47,0,0.135,0.709,1.2e-06,0.129,0.459,176.904,0ouGhCbQJuszFxTaN3T7JN,209747,3
79,0.464,0.547,7,-8.137,0,0.339,0.0511,0.0,0.155,0.423,67.003,0Odu228D0yGcFySGuxU4rY,221492,3
80,0.523,0.562,0,-7.198,0,0.152,0.0101,0.0,0.46,0.259,136.92,74a9iiRlyYXgwjSrntULcv,146398,3
81,0.545,0.691,9,-9.898,1,0.663,0.125,0.0,0.21,0.48,154.085,0PKek4Dx6rgpvQZkL6VqKL,311029,3
82,0.359,0.471,7,-8.348,1,0.177,0.301,0.0,0.0736,0.249,170.693,5SeX6wQeUsYKNnuQno9slB,404233,3
83,0.416,0.571,5,-7.905,1,0.141,0.113,0.0,0.171,0.117,89.978,3RFT4wk8sMnr5XhkxYJrW2,223602,3
84,0.482,0.651,5,-9.282,0,0.464,0.16,2.03e-06,0.274,0.472,102.651,1q7Szyq0lzE8P93aYW5Wvg,231919,3
85,0.425,0.684,6,-5.759,1,0.339,0.318,0.0,0.168,0.377,86.641,1Rzovgi43GJlRDhnsR900U,270967,3
86,0.39,0.542,8,-8.627,0,0.477,0.411,0.0,0.104,0.439,190.724,5rPhugY1JSJCJWIRiniDta,255434,3
87,0.389,0.666,10,-7.019,0,0.44,0.332,0.0,0.0842,0.378,90.059,4vr7q1NPXQhPysvuRkN91L,292259,3
