danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.721,0.729,5,-4.122,0,0.201,0.689,1.73e-06,0.135,0.809,93.153,7DcOu51SCRX1gOW7jL9i4v,366027,4
0.876,0.712,9,-5.399,0,0.148,0.027,0.00798,0.0863,0.64,100.006,1zmrPDNSXs4Q32fwusiFyg,145960,4
0.539,0.685,2,-7.26,0,0.127,0.0115,4.86e-06,0.317,0.298,194.099,7IJw9jPpj5UI1zn19zwExA,188863,4
0.601,0.604,2,-8.68,1,0.3,0.251,0.0,0.312,0.703,89.825,3ZXL7Qlrey4fQcjJkFkHl4,181600,4
0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4vAhGoUUPIfCqR1BCIzr7M,279613,4
0.828,0.722,4,-3.881,0,0.0805,0.0686,0.0,0.1,0.734,165.96,7bDXS7ASQGHfnrRUNJPwcG,257040,4
0.804,0.685,6,-6.793,0,0.069,0.707,0.000132,0.0609,0.803,96.0,2eTQdL89yEeud6x1uomFbI,203067,4
0.757,0.554,8,-8.434,1,0.0589,0.0941,1.59e-05,0.144,0.196,97.986,5Fcj2ty5PrgtrQa2hdlh92,217991,4
0.68,0.841,7,-8.318,1,0.139,0.344,0.0,0.137,0.319,92.026,0yEh1DSrx2NOG3GgOuuZz1,161880,4
0.682,0.88,5,-4.549,1,0.0308,0.167,6.72e-06,0.179,0.804,96.013,4gKNKDRZZyazemPQXisIDk,234480,4
0.524,0.384,9,-10.049,0,0.36,0.89,0.0,0.0964,0.768,145.947,6FJ6PHNBWcbaexYoHfxwyI,159573,4
0.802,0.659,10,-7.873,0,0.145,0.718,0.667,0.106,0.518,101.974,0fYdWmDyDTHjsvLkV01SVL,226388,4
0.524,0.709,9,-6.928,0,0.336,0.748,0.000124,0.273,0.495,159.452,4Tjzx2B3Cx2gFkrcAJ59Cy,157629,4
0.812,0.764,8,-3.39,0,0.101,0.59,0.0,0.253,0.431,100.082,2rOmn0cQW1joMeTFoa4TnQ,217773,4
0.865,0.699,4,-4.921,0,0.0668,0.333,0.0,0.104,0.536,95.016,2opxnO1KqHRUB1wZwlbdXM,208840,4
0.77,0.813,7,-3.424,1,0.139,0.298,1.82e-06,0.158,0.717,98.025,00GBjKhbGkc43l3sxL7aD4,292947,4
0.825,0.807,6,-5.753,1,0.095,0.0741,4.79e-06,0.138,0.816,103.053,1RTbEZJo6yyKVGKCIzRhRu,218827,4
0.777,0.564,11,-7.658,0,0.114,0.00724,3.04e-06,0.056,0.749,170.026,4IGHIUR6dDohbMGImNMdUQ,232789,4
0.621,0.564,7,-11.024,1,0.0478,0.531,0.0,0.0906,0.265,159.782,2ch0eUqge5ivJtJJxfyQV8,150413,4
0.809,0.644,7,-6.525,0,0.334,0.0741,0.0,0.188,0.728,151.04,7uzjtQ085hpitCPhCbseOy,197480,4
0.761,0.478,10,-7.425,0,0.0522,0.2,0.0,0.108,0.489,139.966,4TUaYCXO34Jkfp0CNORk2g,248571,3
