,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,year
0,0.464,0.429,5,-10.8,1,0.0362,0.692,0.504,0.109,0.288,130.613,5AdHGw47KRkY9Jos29V5fo,262372,4,1,2018
1,0.605,0.613,6,-9.511,0,0.144,0.563,0.00326,0.124,0.682,104.916,19QpYbSNziftQd5uIOXHYv,224192,4,1,2018
2,0.476,0.668,2,-10.967,1,0.0327,0.0785,0.832,0.12,0.29,124.565,0Bfxrm86iioVHVnnwH5kMb,270555,3,1,2018
3,0.825,0.443,7,-15.467,1,0.0782,0.969,0.843,0.177,0.93,132.386,2PFJH4R9gE1TMIPEw0VcHy,118919,4,1,2018
4,0.67,0.797,10,-5.309,1,0.0325,0.253,0.00033,0.37,0.55,121.031,0xym1BkLTCD2wzIUFbtoXN,293998,4,1,2018
5,0.619,0.164,9,-14.028,1,0.0392,0.975,0.924,0.136,0.416,99.836,62oRgTYEH9GD8w1tDN3zfY,170233,4,1,2018
6,0.387,0.177,4,-14.031,0,0.0328,0.517,0.126,0.1,0.0919,130.382,4QvzM2mPd7biqzG057F2Xs,269395,3,1,2018
7,0.496,0.311,2,-10.032,0,0.0458,0.867,0.000235,0.0957,0.569,97.602,6tsPejbhWsoAl8hXL5Krrj,287827,4,1,2018
8,0.707,0.497,9,-12.423,0,0.0339,0.000845,0.789,0.689,0.383,99.492,7l9VQVW2NmDHhX60sBNfsY,246090,4,1,2018
9,0.33,0.606,1,-9.436,1,0.0549,0.0956,0.224,0.737,0.207,115.221,783TcbUDB6vbbPLmwDuT1P,253406,3,1,2018
10,0.544,0.325,4,-14.658,0,0.0363,0.868,0.66,0.135,0.275,91.98,5ziKFjYVZwlnooWX4D3iZO,230377,4,1,2018
11,0.471,0.493,7,-10.018,0,0.0538,0.57,0.000386,0.148,0.59,147.188,64zJEeH79ioyAmfXsY7ylW,253862,1,1,2018
12,0.537,0.469,1,-12.793,1,0.06,0.265,0.916,0.0936,0.484,172.015,233r2Do5GMsik0TupUfboO,246813,4,1,2018
13,0.469,0.14,0,-16.021,1,0.0334,0.871,0.000126,0.257,0.259,125.234,5xUG6FJQlcqNNA0E0K6vDC,274092,4,1,2018
14,0.397,0.151,5,-15.053,1,0.0313,0.982,0.928,0.108,0.355,101.687,6CX8wX2xnG5go6AgAIOkcs,248885,4,1,2018
