danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.651,0.693,4,-6.828,0,0.0543,0.00446,1.32e-05,0.124,0.548,144.953,7mIFzHyC5luAXh0jIMj6XY,230293,4
0.689,0.586,6,-7.61,1,0.107,0.241,0.0,0.356,0.611,93.02,2QWP8NYYplOqEFBYGCcq0S,209347,4
0.513,0.554,3,-5.638,1,0.0372,0.488,0.000259,0.111,0.722,175.958,3WTUNLFtzWaDwfFfZJZ9d8,240827,4
0.641,0.604,7,-6.771,1,0.0276,0.0038,0.0,0.106,0.285,130.94,3njZlgsB9MI6DVTg8wDPsg,190333,4
0.831,0.681,11,-7.535,1,0.0713,0.006,0.164,0.13,0.493,87.995,3WFeGpklHvro9Um4uYWyBZ,205880,4
0.713,0.676,9,-7.09,1,0.046,0.00523,0.0,0.109,0.514,147.007,6ZMN5CMFQSV1QuSi8iYOiV,211773,4
0.551,0.854,2,-6.163,0,0.176,0.0866,0.0,0.242,0.386,176.053,1LwM2qIXi3Y7YTcJ6BQgal,244867,4
0.599,0.67,2,-5.889,1,0.0321,0.0111,0.0,0.181,0.366,129.879,5jJXjQcZUdL7sj3hCW4LrJ,258267,4
0.658,0.531,7,-7.759,1,0.0242,0.715,2.38e-06,0.208,0.662,97.658,3ZVrELQ8ncJNY0K6oWgHSB,224200,4
0.677,0.801,4,-6.742,0,0.0383,0.000515,0.000856,0.0991,0.526,141.898,5tfYoMU6AtoyQVFbNAb1XQ,209600,4
0.346,0.398,0,-10.383,1,0.0491,0.616,0.0,0.138,0.323,79.246,3uJf94Ifcu7ducKMbmGjuw,206493,4
0.597,0.624,10,-9.018,0,0.128,0.0198,0.0,0.0893,0.631,166.201,4jyVtsexyS1kY6X3X3gmAw,227173,4
0.263,0.141,6,-22.844,1,0.0361,0.918,0.961,0.699,0.198,131.625,3SxqLiM3pVLPJ6OvrcdH3N,47467,4
0.685,0.693,6,-7.854,1,0.0311,0.00185,0.0135,0.213,0.674,131.959,10Q0ftQ4n8lyBj8t423BSY,237147,4
0.273,0.195,5,-11.358,1,0.037,0.889,0.0,0.0749,0.22,152.623,0YYML6v5bQ1sN5FBHBtuur,125678,4
0.424,0.574,5,-4.551,1,0.0395,0.57,0.0,0.108,0.367,90.388,3Ka3mzikXIm938989NZRA7,209966,4
0.429,0.412,10,-7.676,0,0.0347,0.898,0.000989,0.145,0.302,105.367,1V1PZd7RMzMSX9Og6wznnz,194844,4
